=== VLLM Benchmark Error Log Wed Dec 10 04:44:38 AM UTC 2025 ===
=== Starting benchmark run at Wed Dec 10 04:44:38 AM UTC 2025 ===
=== Starting benchmark run at Wed Dec 10 04:50:21 AM UTC 2025 ===
=== Starting benchmark run at Wed Dec 10 04:59:21 AM UTC 2025 ===
=== Starting benchmark run at Wed Dec 10 05:14:57 AM UTC 2025 ===
=== Starting benchmark run at Wed Dec 10 05:44:17 AM UTC 2025 ===
=== Starting benchmark run at Wed Dec 10 05:49:54 AM UTC 2025 ===
=== Starting benchmark run at Wed Dec 10 05:58:57 AM UTC 2025 ===
=== Starting benchmark run at Wed Dec 10 06:14:44 AM UTC 2025 ===
=== Starting benchmark run at Wed Dec 10 06:44:07 AM UTC 2025 ===
=== Starting benchmark run at Wed Dec 10 06:49:45 AM UTC 2025 ===
=== Starting benchmark run at Wed Dec 10 06:58:39 AM UTC 2025 ===
=== Starting benchmark run at Wed Dec 10 07:14:25 AM UTC 2025 ===
