model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,32,5000,640000,640000,19.02,2434.82,2434.82,4869.65,133818.70,134433.50,,,,132304.03,132915.89,,,256121.47,,,,,,1049.09,11.72,,,28.42
meta-llama/Llama-3.1-8B,16,5000,640000,640000,10.69,1368.52,1368.52,2737.04,236337.47,236850.28,,,,234917.00,235437.81,,,458952.81,,,,,,1850.75,11.05,,,23.78
meta-llama/Llama-3.1-8B,8,5000,640000,640000,5.75,735.72,735.72,1471.45,438149.30,438696.87,,,,436791.35,437336.38,,,858235.36,,,,,,3429.04,10.62,,,23.73
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.95,378.04,378.04,756.08,848559.82,848372.23,,,,847224.48,847039.57,,,1673218.51,,,,,,6636.89,10.47,,,15.24
meta-llama/Llama-3.1-8B,32,5000,640000,640000,18.85,2412.79,2412.79,4825.58,134671.48,135279.03,,,,133142.98,133773.78,,,257745.71,,,,,,1056.94,11.81,,,27.09
meta-llama/Llama-3.1-8B,16,5000,640000,640000,10.64,1361.40,1361.40,2722.80,238233.59,238763.73,,,,236809.80,237347.31,,,461581.74,,,,,,1865.93,11.08,,,22.56
meta-llama/Llama-3.1-8B,8,5000,640000,640000,5.72,732.68,732.68,1465.35,440334.21,440711.42,,,,438971.95,439352.07,,,861108.05,,,,,,3446.01,10.64,,,23.56
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.96,378.72,378.72,757.45,848277.12,848890.10,,,,846944.71,847561.25,,,1670004.06,,,,,,6634.47,10.44,,,15.46
meta-llama/Llama-3.1-8B,32,5000,640000,640000,18.82,2409.16,2409.16,4818.32,135301.97,136000.84,,,,133773.43,134478.14,,,258019.76,,,,,,1060.93,11.85,,,27.76
meta-llama/Llama-3.1-8B,16,5000,640000,640000,10.73,1373.42,1373.42,2746.83,235694.70,235971.92,,,,234279.12,234572.60,,,458159.85,,,,,,1845.81,11.02,,,22.95
meta-llama/Llama-3.1-8B,8,5000,640000,640000,5.73,733.70,733.70,1467.40,438943.26,439078.54,,,,437582.31,437722.70,,,859624.85,,,,,,3435.25,10.63,,,23.56
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.95,377.60,377.60,755.19,851431.62,851811.60,,,,850095.03,850463.22,,,1675274.61,,,,,,6660.52,10.49,,,15.87
