model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,32,5000,640000,640000,17.9,2291.84,2291.84,4583.67,143035.14,143840.52,,,,141430.45,142206.39,,,271484.5,,,,,,1122.68,12.39,,,33.27
meta-llama/Llama-3.1-8B,16,5000,640000,640000,10.33,1322.65,1322.65,2645.3,243907.48,244247.67,,,,242431.49,242790.55,,,475712.3,,,,,,1909.3,11.45,,,26.55
meta-llama/Llama-3.1-8B,8,5000,640000,640000,5.5,704.22,704.22,1408.43,458390.25,458747.09,,,,456972.41,457318.75,,,896331.45,,,,,,3588.25,11.05,,,25.71
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.84,363.56,363.56,727.11,883411.56,883992.02,,,,882026.51,882607.39,,,1740360.7,,,,,,6908.58,10.83,,,20.28
meta-llama/Llama-3.1-8B,32,5000,640000,640000,18.24,2334.99,2334.99,4669.99,140197.65,140948.17,,,,138622.78,139379.55,,,267677.82,,,,,,1100.91,12.22,,,30.27
meta-llama/Llama-3.1-8B,16,5000,640000,640000,10.22,1307.77,1307.77,2615.53,248262.7,248557.41,,,,246777.7,247086.57,,,481449.66,,,,,,1945.34,11.53,,,25.65
meta-llama/Llama-3.1-8B,8,5000,640000,640000,5.5,704.52,704.52,1409.05,457878.57,458752.01,,,,456457.64,457327.54,,,896754.7,,,,,,3581.32,11.08,,,25.66
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.81,359.76,359.76,719.51,891829.42,892067.38,,,,890430.94,890664.21,,,1758800.32,,,,,,6974.06,10.93,,,22.25
meta-llama/Llama-3.1-8B,32,5000,640000,640000,17.88,2288.38,2288.38,4576.76,143036.75,143786.76,,,,141423.41,142180.52,,,273107.92,,,,,,1121.12,12.48,,,33.13
meta-llama/Llama-3.1-8B,16,5000,640000,640000,10.17,1302.04,1302.04,2604.07,248355.83,248671.39,,,,246861.12,247178.48,,,483568.36,,,,,,1946.22,11.61,,,26.72
meta-llama/Llama-3.1-8B,8,5000,640000,640000,5.47,699.57,699.57,1399.14,459624.41,459652.2,,,,458195.2,458223.92,,,901977.98,,,,,,3597.74,11.14,,,25.74
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.8,358.04,358.04,716.08,898579.51,899007.76,,,,897177.58,897602.97,,,1765921.74,,,,,,7027.47,10.96,,,21.77
meta-llama/Llama-3.1-8B,32,5000,640000,640000,18.01,2305.0,2305.0,4609.99,141296.83,142213.05,,,,139694.69,140618.89,,,269373.35,,,,,,1109.26,12.38,,,32.97
meta-llama/Llama-3.1-8B,16,5000,640000,640000,10.22,1308.37,1308.37,2616.74,247028.77,247567.61,,,,245539.88,246091.27,,,480593.39,,,,,,1934.07,11.55,,,26.98
