model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,512,4997,639616,5116928,2.17,278.33,2226.66,2504.99,1232251.82,1246510.21,665220.07,1794871.19,2250356.15,1010656.45,997411.09,448125.53,1578223.19,2029767.71,216.61,213.05,209.04,215.42,260.61,1210.73,193.68,179.65,208.40,1057.60
meta-llama/Llama-3.1-8B,1024,4997,639616,5116928,2.19,280.11,2240.91,2521.02,1255226.68,1249218.44,715467.23,1819483.52,2280428.96,871638.70,945900.28,415032.83,1519490.18,2114625.94,374.96,387.64,295.17,449.40,516.30,1233.74,234.71,193.99,283.82,1509.09
meta-llama/Llama-3.1-8B,2048,4997,639616,5116928,2.08,266.24,2129.91,2396.15,1318837.92,1351996.96,688864.65,1893200.61,2386244.30,769796.29,911587.64,18764.09,1406559.33,1906830.33,536.70,472.92,431.62,628.49,1047.07,1296.98,213.50,184.93,269.04,1847.05
meta-llama/Llama-3.1-8B,4096,4997,639616,5116928,1.76,224.65,1797.21,2021.86,1521754.58,1505005.43,805462.59,2237984.60,2835102.69,1031591.76,1132031.11,16885.22,1905186.11,2496303.85,479.14,383.97,343.78,523.70,1082.95,1496.02,180.87,167.19,215.96,1225.43
meta-llama/Llama-3.1-8B,512,4997,639616,5116928,2.17,277.28,2218.24,2495.52,1234237.92,1245355.65,664962.61,1798139.58,2260956.80,1011514.70,997228.48,447385.28,1580799.43,2035974.65,217.72,213.49,211.26,216.33,262.15,1212.68,194.57,179.99,209.81,1058.64
meta-llama/Llama-3.1-8B,1024,4997,639616,5116928,2.20,281.19,2249.55,2530.75,1253435.34,1252400.08,713433.50,1817111.45,2272743.24,870933.70,947912.96,412554.76,1517372.17,2108656.77,373.90,387.02,296.51,449.58,512.49,1231.98,233.66,193.86,283.97,1522.21
meta-llama/Llama-3.1-8B,2048,4997,639616,5116928,2.09,267.11,2136.87,2403.98,1318383.86,1350835.76,693657.08,1888412.98,2379358.71,770466.25,915800.42,19508.74,1405550.54,1901992.58,535.60,470.16,430.33,626.50,1049.11,1296.53,214.19,184.69,273.23,1736.33
meta-llama/Llama-3.1-8B,4096,4997,639616,5116928,1.75,223.65,1789.23,2012.88,1527055.31,1509664.61,806745.33,2246336.39,2847644.56,1035283.99,1134404.79,17394.75,1910404.48,2505902.91,480.71,386.10,345.31,526.62,1085.68,1501.23,180.80,166.96,216.27,1300.87
meta-llama/Llama-3.1-8B,512,4997,639616,5116928,2.17,278.28,2226.21,2504.48,1230601.51,1239698.63,665182.22,1791306.10,2252610.46,1008834.73,993964.44,449437.47,1575267.51,2028669.51,216.78,212.08,210.15,214.92,262.33,1209.11,194.09,179.82,208.37,1072.54
meta-llama/Llama-3.1-8B,1024,4997,639616,5116928,2.20,281.01,2248.11,2529.12,1254019.29,1253089.36,714155.08,1815475.30,2273262.63,871595.02,947259.67,415987.05,1517093.01,2109180.68,373.83,388.22,295.35,448.62,513.66,1232.55,233.89,194.72,282.52,1517.74
meta-llama/Llama-3.1-8B,2048,4997,639616,5116928,2.08,266.25,2130.00,2396.25,1320688.65,1353748.73,694450.45,1890730.64,2387359.00,771558.55,917711.78,19594.34,1407822.41,1904377.33,536.78,471.43,434.07,627.47,1049.98,1298.80,214.05,185.35,274.60,1727.83
meta-llama/Llama-3.1-8B,4096,4997,639616,5116928,1.74,223.20,1785.63,2008.83,1530555.32,1515173.35,810168.22,2248509.33,2853567.88,1037879.42,1139039.26,17408.10,1914757.48,2512084.58,481.60,386.51,346.31,526.46,1090.11,1504.67,180.82,166.76,215.99,1278.40
