=== Chunked Prefill Log Mon Dec  8 03:41:16 AM UTC 2025 ===
=== Chunked Prefill Logs for meta-llama/Llama-3.1-8B at Mon Dec  8 04:26:59 AM UTC 2025 ===
[2025-12-08 03:42:18] Running chunked_prefill: req=c70227b3517a40b390a01a9ffa207535, extend_input_len=4096, rem_tokens=4096
[2025-12-08 03:42:21] Running chunked_prefill: req=c381dc65292f4f72b4c9baa83193403b, extend_input_len=4096, rem_tokens=4095
[2025-12-08 03:42:21] Running chunked_prefill: req=c381dc65292f4f72b4c9baa83193403b, extend_input_len=1, rem_tokens=4095
[2025-12-08 03:42:21] Running chunked_prefill: req=ef9b9ab466424f2d90bf0c23d100b2a0, extend_input_len=4095, rem_tokens=4094
[2025-12-08 03:42:21] Running chunked_prefill: req=ef9b9ab466424f2d90bf0c23d100b2a0, extend_input_len=1, rem_tokens=4094
[2025-12-08 03:42:21] Running chunked_prefill: req=c04a2239659a4095acd09fc490b99d4c, extend_input_len=4098, rem_tokens=4093
[2025-12-08 03:42:22] Running chunked_prefill: req=c04a2239659a4095acd09fc490b99d4c, extend_input_len=5, rem_tokens=4093
[2025-12-08 03:42:22] Running chunked_prefill: req=4d28ac48a2ea41a4873d1064efc98acf, extend_input_len=4099, rem_tokens=4092
[2025-12-08 03:42:22] Running chunked_prefill: req=4d28ac48a2ea41a4873d1064efc98acf, extend_input_len=7, rem_tokens=4092
[2025-12-08 03:42:22] Running chunked_prefill: req=45a64eb53c4d4ff087ef41cd23a7ce7c, extend_input_len=4100, rem_tokens=4091
[2025-12-08 03:42:22] Running chunked_prefill: req=45a64eb53c4d4ff087ef41cd23a7ce7c, extend_input_len=9, rem_tokens=4091
[2025-12-08 03:42:23] Running chunked_prefill: req=d65b43ede9ba4fbd902dcc3d77964d0a, extend_input_len=4101, rem_tokens=4090
[2025-12-08 03:42:23] Running chunked_prefill: req=d65b43ede9ba4fbd902dcc3d77964d0a, extend_input_len=11, rem_tokens=4090
[2025-12-08 03:42:23] Running chunked_prefill: req=1d9dee42bd654a0483d420cc0d2c770e, extend_input_len=4101, rem_tokens=4089
[2025-12-08 03:42:23] Running chunked_prefill: req=1d9dee42bd654a0483d420cc0d2c770e, extend_input_len=12, rem_tokens=4089
[2025-12-08 03:42:23] Running chunked_prefill: req=0a35e36a599d452cbed066b248afd1a4, extend_input_len=4093, rem_tokens=4088
[2025-12-08 03:42:23] Running chunked_prefill: req=0a35e36a599d452cbed066b248afd1a4, extend_input_len=5, rem_tokens=4088
[2025-12-08 03:42:24] Running chunked_prefill: req=81314977b3384e6e9325d876ced3166e, extend_input_len=4104, rem_tokens=4087
