model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,32,5000,640000,640000,18.41,2356.38,2356.38,4712.75,138661.87,139492.08,,,,137103.07,137943.20,,,263606.95,,,,,,1084.55,12.02,,,33.63
meta-llama/Llama-3.1-8B,16,5000,640000,640000,10.42,1333.86,1333.86,2667.73,242335.23,242443.44,,,,240874.69,240988.17,,,471605.12,,,,,,1899.38,11.34,,,26.36
meta-llama/Llama-3.1-8B,8,5000,640000,640000,5.60,716.71,716.71,1433.43,449069.39,449471.83,,,,447676.21,448077.14,,,879896.84,,,,,,3513.09,10.86,,,25.55
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.88,368.84,368.84,737.69,872406.55,872307.28,,,,871043.17,870931.63,,,1715399.50,,,,,,6823.53,10.66,,,20.30
meta-llama/Llama-3.1-8B,32,5000,640000,640000,18.71,2394.87,2394.87,4789.75,135971.23,136532.96,,,,134426.83,135016.14,,,260285.04,,,,,,1068.37,11.96,,,31.18
meta-llama/Llama-3.1-8B,16,5000,640000,640000,10.39,1329.54,1329.54,2659.09,243031.12,243625.94,,,,241565.36,242168.40,,,473025.97,,,,,,1904.17,11.37,,,27.19
meta-llama/Llama-3.1-8B,8,5000,640000,640000,5.60,716.54,716.54,1433.08,450253.67,451352.89,,,,448858.32,449953.66,,,881158.86,,,,,,3522.62,10.86,,,25.05
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.87,367.89,367.89,735.77,873245.38,874151.76,,,,871877.53,872774.72,,,1719389.71,,,,,,6828.60,10.70,,,20.29
meta-llama/Llama-3.1-8B,32,5000,640000,640000,18.53,2371.42,2371.42,4742.84,137610.59,138431.84,,,,136050.48,136876.98,,,262801.61,,,,,,1077.62,12.07,,,31.84
meta-llama/Llama-3.1-8B,16,5000,640000,640000,10.40,1331.20,1331.20,2662.40,242579.96,243042.71,,,,241117.27,241581.65,,,472304.65,,,,,,1901.49,11.35,,,27.19
meta-llama/Llama-3.1-8B,8,5000,640000,640000,5.57,712.52,712.52,1425.03,452512.08,452731.69,,,,451110.49,451328.69,,,885904.73,,,,,,3541.84,10.91,,,25.72
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.88,368.30,368.30,736.61,870163.32,868793.44,,,,868796.64,867421.97,,,1717446.27,,,,,,6804.88,10.69,,,20.27
