model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,32,5000,640000,640000,14.61,1870.50,1870.50,3741.01,174621.40,175539.26,,,,172610.56,173566.84,,,333542.19,,,,,,1378.70,15.61,,,47.30
meta-llama/Llama-3.1-8B,16,5000,640000,640000,7.92,1014.36,1014.36,2028.72,317802.25,318575.36,,,,315855.68,316646.18,,,621304.88,,,,,,2505.26,15.20,,,45.93
meta-llama/Llama-3.1-8B,8,5000,640000,640000,4.08,522.37,522.37,1044.75,613767.26,613337.85,,,,611837.87,611419.25,,,1209593.75,,,,,,4837.74,15.11,,,45.30
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.07,265.28,265.28,530.57,1213501.30,1214692.86,,,,1211590.18,1212795.67,,,2385877.17,,,,,,9564.99,14.99,,,44.97
meta-llama/Llama-3.1-8B,32,5000,640000,640000,14.71,1882.72,1882.72,3765.44,171891.87,172650.04,,,,169877.85,170645.62,,,332050.85,,,,,,1357.49,15.66,,,47.22
meta-llama/Llama-3.1-8B,16,5000,640000,640000,7.75,991.46,991.46,1982.91,325077.02,325930.61,,,,323082.09,323927.02,,,635793.06,,,,,,2563.90,15.59,,,47.07
meta-llama/Llama-3.1-8B,8,5000,640000,640000,4.02,515.07,515.07,1030.13,623894.71,623713.01,,,,621938.11,621773.18,,,1227134.06,,,,,,4917.19,15.34,,,45.95
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.03,259.80,259.80,519.61,1236035.46,1236545.77,,,,1234084.91,1234604.39,,,2434978.14,,,,,,9743.90,15.32,,,45.96
meta-llama/Llama-3.1-8B,32,5000,640000,640000,14.68,1879.16,1879.16,3758.32,172155.81,172820.97,,,,170138.14,170817.15,,,332603.13,,,,,,1357.72,15.70,,,47.32
meta-llama/Llama-3.1-8B,16,5000,640000,640000,7.80,998.93,998.93,1997.86,322146.01,322918.92,,,,320167.20,320912.63,,,630834.92,,,,,,2540.21,15.45,,,46.66
meta-llama/Llama-3.1-8B,8,5000,640000,640000,4.01,513.80,513.80,1027.59,624973.34,623968.13,,,,623011.49,622018.73,,,1230064.38,,,,,,4925.74,15.36,,,46.01
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.06,263.15,263.15,526.31,1218603.22,1217271.78,,,,1216677.11,1215349.49,,,2405213.64,,,,,,9603.30,15.10,,,45.24
