model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.2-3B,2048,5000,640000,640000,113.84,14571.38,14571.38,29142.77,31681.87,35734.81,22450.54,37262.04,42545.98,18673.99,20915.27,8148.01,22425.07,37201.49,,,103.55,116.44,119.88,467.50,138.90,104.24,179.80,8165.77
meta-llama/Llama-3.2-3B,1024,5000,640000,640000,110.68,14167.19,14167.19,28334.38,28291.39,27756.72,21209.52,36081.31,43813.69,21239.12,21177.45,14499.47,28561.68,37147.69,,,52.31,56.62,67.61,416.85,67.47,59.50,75.95,14678.93
meta-llama/Llama-3.2-3B,512,5000,640000,640000,101.49,12991.35,12991.35,25982.70,27255.06,24729.85,16322.61,38737.61,47597.37,23589.74,20961.24,12989.77,34493.88,43964.77,,,26.20,32.73,36.87,304.03,28.81,26.04,32.93,9826.16
meta-llama/Llama-3.2-3B,256,5000,640000,640000,67.37,8623.75,8623.75,17247.50,39076.45,37348.39,20438.85,55834.08,72561.80,36126.95,33942.60,17286.21,52600.48,70594.03,,,22.72,26.74,29.39,347.11,23.13,20.57,26.45,540.38
meta-llama/Llama-3.2-3B,128,5000,640000,640000,60.51,7745.23,7745.23,15490.47,41384.61,39994.91,21313.96,61081.97,80215.16,39730.58,38133.13,19713.91,59168.18,78235.28,,,12.63,15.02,16.69,351.38,12.44,11.76,16.21,137.17
meta-llama/Llama-3.2-3B,64,5000,640000,640000,37.99,4862.57,4862.57,9725.14,63455.32,60941.16,31606.17,95303.02,129079.81,62004.83,59219.61,30230.45,93627.45,127385.51,,,10.83,13.18,14.05,517.23,10.83,10.06,14.58,95.75
meta-llama/Llama-3.2-3B,32,5000,640000,640000,23.04,2949.45,2949.45,5898.90,106463.83,103723.21,53494.76,159799.22,213150.99,105194.46,102378.53,52257.00,158407.50,211763.84,,,9.62,10.88,13.04,867.86,9.52,9.08,10.06,50.49
meta-llama/Llama-3.2-3B,16,5000,640000,640000,13.19,1688.95,1688.95,3377.90,182927.62,178572.09,90084.91,274617.15,373993.50,181798.82,177382.34,88989.10,273394.06,372751.00,,,8.45,9.63,10.44,1475.17,8.62,8.05,9.28,36.22
meta-llama/Llama-3.2-3B,8,5000,640000,640000,7.38,944.47,944.47,1888.93,336316.33,332850.69,169479.12,502995.14,668989.20,335277.84,331798.08,168444.51,501978.92,667882.52,,,8.03,8.42,9.45,2680.95,8.09,7.83,8.52,26.95
meta-llama/Llama-3.2-3B,4,5000,640000,640000,3.81,487.23,487.23,974.45,654620.37,651560.98,330047.34,980848.69,1299167.19,653607.39,650549.18,329033.18,979832.73,1298149.53,,,7.87,8.12,9.40,5218.68,7.96,7.64,8.28,25.39
meta-llama/Llama-3.2-3B,2,5000,640000,640000,1.85,236.49,236.49,472.98,1338746.74,1325643.83,655468.41,2023048.50,2677339.28,1337699.88,1324541.06,654561.84,2021980.42,2676268.03,,,8.03,8.51,8.89,10636.37,8.22,7.87,8.68,25.88
meta-llama/Llama-3.2-3B,1,5000,640000,640000,0.98,125.23,125.23,250.47,2536012.95,2528992.43,1240735.15,3819027.18,5057519.12,2535023.29,2528014.31,1239746.50,3818088.51,5056557.78,,,7.65,7.96,8.77,20132.10,7.81,7.43,8.15,24.62
