model_path,max_num_seqs,mean_noncc,min_noncc,max_noncc,std_dev_noncc,cv_noncc
meta-llama/Llama-3.2-3B,1,386.55,386.41,386.69,0.197989898732214,0.0005121973838629259
meta-llama/Llama-3.2-3B,2,753.72,753.53,753.91,0.26870057685084464,0.00035649919977031897
meta-llama/Llama-3.2-3B,4,1501.505,1500.67,1502.34,1.1808683245813447,0.0007864564717276499
meta-llama/Llama-3.2-3B,8,2925.01,2923.72,2926.3,1.824335495461402,0.0006237023105772502
meta-llama/Llama-3.2-3B,16,5385.094999999999,5383.91,5386.28,1.675843071411719,0.00031120027992301725
meta-llama/Llama-3.2-3B,32,9813.805,9805.27,9822.34,12.07031275485416,0.0012299319942523986
meta-llama/Llama-3.2-3B,64,16513.055,16496.32,16529.79,23.66686396631457,0.0014332214097460807
meta-llama/Llama-3.2-3B,128,24325.52,24266.52,24384.52,83.43860018001261,0.003430084955224497
meta-llama/Llama-3.2-3B,256,28585.605000000003,27447.83,29723.38,1609.056835929049,0.05628906003315471
meta-llama/Llama-3.2-3B,512,34356.83,34134.15,34579.51,314.9170760692412,0.00916606904854846
meta-llama/Llama-3.2-3B,1024,29770.72,27837.14,31704.3,2734.49505993337,0.091851828237052
meta-llama/Llama-3.2-3B,2048,33310.915,30371.79,36250.04,4156.550436509823,0.12478043417629996
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,1,312.06,312.06,312.06,,
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,2,608.46,608.46,608.46,,
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,4,1204.61,1204.61,1204.61,,
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,8,2344.62,2344.62,2344.62,,
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,16,4294.69,4294.69,4294.69,,
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,32,7762.79,7762.79,7762.79,,
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,64,12768.23,12768.23,12768.23,,
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,128,18537.79,18537.79,18537.79,,
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,256,20871.62,20871.62,20871.62,,
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,512,25936.58,25936.58,25936.58,,
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,1024,27169.63,27169.63,27169.63,,
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,2048,26953.28,26953.28,26953.28,,
