model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.2-3B,2048,5000,640000,640000,106.13,13584.27,13584.27,27168.55,33614.65,37570.15,24921.22,39261.37,45784.86,19881.37,23307.12,7019.11,25675.94,42166.38,108.14,112.13,106.97,141.00,147.48,265.60,103.13,93.76,125.81,550.29
meta-llama/Llama-3.2-3B,1024,5000,640000,640000,99.25,12704.36,12704.36,25408.72,32047.74,35962.41,24031.41,44508.69,49010.02,23966.06,26873.89,15070.58,35982.42,44855.91,63.64,68.63,64.69,71.89,83.72,258.02,56.70,50.61,67.65,452.50
meta-llama/Llama-3.2-3B,512,5000,640000,640000,98.77,12642.71,12642.71,25285.42,29137.03,31572.56,18428.85,40983.87,49225.89,24917.16,26866.73,13629.89,37917.62,47289.61,33.23,36.31,34.12,37.78,40.46,233.67,31.53,26.73,33.92,271.43
meta-llama/Llama-3.2-3B,256,5000,640000,640000,91.90,11763.09,11763.09,23526.18,29686.92,29162.00,16924.31,41732.23,52669.37,27276.27,26731.36,14480.82,39275.09,51186.11,18.98,19.21,18.65,19.51,20.80,233.32,15.90,14.57,16.93,211.15
meta-llama/Llama-3.2-3B,128,5000,640000,640000,69.18,8855.26,8855.26,17710.53,37989.33,37938.39,21236.33,54745.94,69797.71,36380.45,36344.20,19622.70,53165.71,68317.64,12.67,12.66,12.42,12.76,13.96,308.33,11.53,11.17,11.95,146.16
meta-llama/Llama-3.2-3B,64,5000,640000,640000,47.08,6026.86,6026.86,12053.73,54882.41,55486.01,29938.39,79784.23,103593.15,53655.56,54278.50,28736.82,78578.75,102445.25,9.66,9.55,9.49,9.95,10.45,434.10,9.12,8.91,9.40,91.73
meta-llama/Llama-3.2-3B,32,5000,640000,640000,29.30,3750.48,3750.48,7500.96,86856.00,87501.06,46281.37,127700.37,167056.35,85851.45,86520.47,45311.74,126680.27,166043.52,7.91,7.94,7.72,8.01,8.95,685.16,7.79,7.57,8.00,23.92
meta-llama/Llama-3.2-3B,16,5000,640000,640000,16.82,2153.53,2153.53,4307.06,151013.49,151863.01,79036.74,223863.99,293015.86,150102.77,150961.29,78154.07,222961.72,292113.23,7.17,7.10,7.09,7.18,7.74,1188.90,7.03,6.93,7.20,21.36
meta-llama/Llama-3.2-3B,8,5000,640000,640000,9.06,1159.17,1159.17,2318.34,277896.74,277717.95,140796.51,414481.98,545390.83,277035.07,276862.85,139943.15,413628.85,544551.68,6.78,6.74,6.71,6.91,7.04,2186.15,6.70,6.56,6.87,19.90
meta-llama/Llama-3.2-3B,4,5000,640000,640000,4.63,592.83,592.83,1185.66,541409.28,543746.38,271227.47,809403.91,1067202.75,540563.65,542879.34,270360.26,808579.78,1066335.23,6.66,6.58,6.54,6.82,6.89,4256.33,6.58,6.45,6.76,19.42
meta-llama/Llama-3.2-3B,2,5000,640000,640000,2.39,305.84,305.84,611.67,1051335.87,1050699.91,529749.99,1573822.35,2070435.04,1050514.72,1049860.84,528912.92,1573011.07,2069615.64,6.47,6.40,6.38,6.57,6.67,8263.18,6.47,6.32,6.62,19.03
meta-llama/Llama-3.2-3B,1,5000,640000,640000,1.19,152.37,152.37,304.73,2108126.01,2114664.29,1054830.74,3161200.22,4155858.41,2107301.48,2113826.91,1053990.64,3160379.54,4155019.04,6.49,6.56,6.34,6.61,6.72,16566.75,6.52,6.34,6.65,18.95
meta-llama/Llama-3.2-3B,2048,5000,640000,640000,88.92,11382.00,11382.00,22764.00,40471.17,46213.21,27777.10,48833.64,54814.01,22180.59,26054.65,6832.88,29388.03,47502.10,144.02,158.69,152.69,164.93,167.81,318.56,141.47,124.73,160.63,564.91
meta-llama/Llama-3.2-3B,1024,5000,640000,640000,105.43,13494.53,13494.53,26989.05,30211.39,30769.84,22646.37,39599.03,45664.19,22009.23,22551.05,13272.89,31169.86,39840.85,64.58,66.38,63.11,67.88,74.18,237.40,50.59,48.45,55.83,398.58
meta-llama/Llama-3.2-3B,512,5000,640000,640000,93.35,11949.13,11949.13,23898.27,30559.64,29137.23,17993.84,40880.31,51829.00,26278.96,26238.12,15753.66,39361.85,50203.99,33.71,36.62,34.50,37.29,43.66,243.96,32.17,28.50,34.69,282.10
meta-llama/Llama-3.2-3B,256,5000,640000,640000,90.04,11525.63,11525.63,23051.26,30528.04,29983.04,17459.48,42427.55,53822.59,28062.59,27442.68,14943.90,40016.13,52299.56,19.41,19.31,19.02,19.98,23.53,240.29,16.21,15.38,17.25,283.10
meta-llama/Llama-3.2-3B,128,5000,640000,640000,71.38,9137.06,9137.06,18274.13,37207.14,37234.26,21359.73,53157.15,67542.90,35661.33,35762.13,19833.42,51652.52,66121.29,12.17,11.97,11.82,12.12,14.62,303.39,10.99,10.57,11.42,144.29
meta-llama/Llama-3.2-3B,64,5000,640000,640000,49.06,6279.53,6279.53,12559.07,52718.61,53214.54,29067.86,76376.47,99397.46,51547.79,52023.85,27922.27,75224.35,98208.85,9.22,9.09,9.05,9.33,10.59,417.83,8.71,8.47,8.98,86.00
meta-llama/Llama-3.2-3B,32,5000,640000,640000,30.06,3847.45,3847.45,7694.90,85064.38,85467.86,45778.90,125235.92,162771.55,84077.83,84453.23,44771.81,124262.19,161793.75,7.77,7.70,7.67,7.75,8.60,670.74,7.55,7.36,7.75,24.41
meta-llama/Llama-3.2-3B,16,5000,640000,640000,16.14,2066.45,2066.45,4132.89,157219.17,157742.59,81949.02,233175.83,305247.13,156270.64,156800.99,80987.50,232242.10,304305.19,7.47,7.45,7.41,7.52,7.89,1238.34,7.35,7.21,7.50,22.33
meta-llama/Llama-3.2-3B,8,5000,640000,640000,8.85,1132.33,1132.33,2264.66,281347.29,278589.22,141776.85,420548.75,558241.65,280465.33,277698.47,140916.41,419659.30,557339.70,6.94,6.98,6.80,7.08,7.28,2213.99,6.88,6.69,7.02,20.33
meta-llama/Llama-3.2-3B,4,5000,640000,640000,4.53,579.93,579.93,1159.86,551203.41,547450.90,277148.33,825568.10,1091419.46,550340.03,546582.89,276314.26,824687.89,1090572.18,6.80,6.86,6.64,6.91,7.01,4333.56,6.73,6.56,6.88,19.85
meta-llama/Llama-3.2-3B,2,5000,640000,640000,2.33,298.17,298.17,596.33,1079765.00,1081438.08,548014.46,1613060.62,2123539.83,1078923.45,1080595.09,547185.74,1612236.78,2122715.33,6.63,6.65,6.53,6.71,6.79,8486.50,6.55,6.44,6.69,19.30
