model_path,max_num_seqs,mean_cc,min_cc,max_cc,std_dev_cc,cv_cc
meta-llama/Llama-3.2-3B,1,304.78,304.73,304.83,0.07071067811865074,0.00023200563724204553
meta-llama/Llama-3.2-3B,2,604.0,596.33,611.67,10.847018023401581,0.017958639111592022
meta-llama/Llama-3.2-3B,4,1179.6933333333334,1159.86,1193.56,17.62450944943814,0.01493990764501353
meta-llama/Llama-3.2-3B,8,2282.56,2264.66,2318.34,30.986390561019054,0.01357527975650982
meta-llama/Llama-3.2-3B,16,4220.486666666667,4132.89,4307.06,87.08950931847842,0.02063494478167883
meta-llama/Llama-3.2-3B,32,7557.276666666668,7475.97,7694.9,119.83848060340733,0.015857363159931172
meta-llama/Llama-3.2-3B,64,12248.996666666666,12053.73,12559.07,271.5281881008549,0.022167381989723917
meta-llama/Llama-3.2-3B,128,18086.676666666666,17710.53,18275.37,325.75315890000684,0.01801066967158005
meta-llama/Llama-3.2-3B,256,23126.89,22803.23,23526.18,367.3609918050651,0.015884582484072183
meta-llama/Llama-3.2-3B,512,24659.156666666666,23898.27,25285.42,703.3056675680446,0.028521075439645768
meta-llama/Llama-3.2-3B,1024,26161.983333333334,25408.72,26989.05,792.745814390294,0.030301441763409685
meta-llama/Llama-3.2-3B,2048,25495.63333333333,22764.0,27168.55,2385.513762448947,0.09356558165315684
