model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.2-3B,2048,5000,640000,640000,112.47,14396.02,14396.02,28792.03,31740.17,35711.68,21932.39,38596.63,43139.59,17672.08,19551.75,6335.01,23905.17,36910.42,110.77,121.84,115.66,124.01,127.60,249.39,93.38,86.82,116.06,576.72
meta-llama/Llama-3.2-3B,1024,5000,640000,640000,110.62,14159.74,14159.74,28319.47,28284.08,29193.30,21023.57,37408.17,44077.31,20913.42,21141.37,12944.16,29322.62,40635.97,58.04,63.52,63.05,63.81,75.96,225.70,56.56,53.45,62.04,370.13
meta-llama/Llama-3.2-3B,512,5000,640000,640000,110.12,14095.46,14095.46,28190.92,26256.80,24984.61,16551.15,37119.05,44288.51,22168.12,20820.24,12084.35,32975.62,41718.90,32.19,32.71,32.58,33.03,35.93,206.31,26.44,24.96,28.13,277.74
meta-llama/Llama-3.2-3B,256,5000,640000,640000,98.59,12619.15,12619.15,25238.30,27614.84,27082.90,15503.41,39007.77,49545.94,25349.93,24832.60,13193.41,36663.90,48129.05,17.83,17.86,17.69,18.24,19.81,217.01,14.83,13.80,15.57,156.53
meta-llama/Llama-3.2-3B,128,5000,640000,640000,77.71,9947.26,9947.26,19894.51,33776.60,33689.77,18785.29,48793.74,62371.37,32348.47,32298.52,17344.77,47405.46,61060.39,11.25,11.23,11.00,11.42,12.85,273.40,10.19,9.93,10.49,141.16
meta-llama/Llama-3.2-3B,64,5000,640000,640000,52.55,6725.89,6725.89,13451.79,48909.79,49366.09,26312.87,71411.50,93211.60,47804.71,48271.33,25224.14,70288.24,92110.13,8.70,8.64,8.58,8.81,9.55,385.72,8.18,8.02,8.37,79.76
meta-llama/Llama-3.2-3B,32,5000,640000,640000,32.41,4148.35,4148.35,8296.70,78733.88,79213.19,42063.62,116136.18,151123.35,77805.31,78296.88,41132.96,115219.00,150191.09,7.31,7.27,7.22,7.35,8.26,620.32,7.04,6.93,7.17,39.11
meta-llama/Llama-3.2-3B,16,5000,640000,640000,18.20,2329.28,2329.28,4658.56,138721.68,138746.56,71602.12,206400.74,271071.38,137878.80,137910.06,70759.42,205559.23,270225.48,6.64,6.62,6.59,6.64,7.08,1091.58,6.57,6.43,6.71,19.81
meta-llama/Llama-3.2-3B,8,5000,640000,640000,9.92,1269.39,1269.39,2538.78,253748.11,253809.25,129071.75,378554.89,498233.99,252959.23,253022.13,128284.70,377763.64,497445.92,6.21,6.21,6.19,6.23,6.30,1995.54,6.16,6.04,6.29,18.35
meta-llama/Llama-3.2-3B,4,5000,640000,640000,5.10,652.33,652.33,1304.66,492989.12,493736.85,249078.36,736975.47,970551.05,492216.22,492962.19,248301.42,736213.90,969773.81,6.09,6.08,6.05,6.11,6.31,3875.10,6.05,5.97,6.15,17.97
meta-llama/Llama-3.2-3B,2,5000,640000,640000,2.60,333.30,333.30,666.60,961016.39,960013.24,483173.64,1438548.33,1899807.36,960258.58,959255.17,482423.86,1437786.94,1899044.80,5.97,5.99,5.93,6.00,6.04,7552.71,5.98,5.89,6.05,17.70
meta-llama/Llama-3.2-3B,1,5000,640000,640000,1.31,168.19,168.19,336.37,1901472.13,1901123.06,951242.90,2849086.14,3766104.43,1900720.61,1900376.54,950490.77,2848334.40,3765350.97,5.92,5.92,5.89,5.94,6.05,14942.41,5.92,5.83,6.00,17.55
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,2048,5000,640000,640000,89.10,11404.40,11404.40,22808.80,40196.48,45351.25,27467.30,49258.95,55021.91,22390.35,24853.20,7617.25,30977.44,47636.93,140.21,154.19,143.95,158.05,162.78,314.21,109.72,91.91,169.45,555.23
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,1024,5000,640000,640000,87.61,11213.99,11213.99,22427.99,35869.72,36564.62,25213.15,47753.88,55948.79,25779.76,26171.80,14829.14,37292.95,48695.73,79.45,81.75,79.98,81.93,89.97,280.46,57.27,54.75,65.16,403.33
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,512,5000,640000,640000,84.46,10811.48,10811.48,21622.96,33910.46,32460.06,20653.71,48370.01,58103.14,28556.06,26991.24,15242.88,42955.28,54671.53,42.16,42.89,42.73,43.13,45.56,265.07,31.55,30.22,32.57,264.02
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,256,5000,640000,640000,79.20,10138.07,10138.07,20276.14,34222.88,33656.25,18960.76,48502.47,62011.72,31409.38,30853.87,16128.29,45688.97,60328.99,22.15,22.17,22.00,22.49,24.18,267.51,17.22,16.59,17.81,227.60
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,128,5000,640000,640000,63.98,8189.06,8189.06,16378.12,40792.15,40677.75,22213.32,59343.53,76152.51,39062.11,38986.14,20478.69,57657.54,74613.22,13.62,13.59,13.30,13.72,14.91,327.78,11.87,11.60,12.17,206.67
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,64,5000,640000,640000,44.57,5704.54,5704.54,11409.08,57708.86,58411.08,30944.40,84307.16,110129.10,56421.77,57154.77,29668.13,83011.74,108846.35,10.13,10.10,9.97,10.22,11.38,453.55,9.30,9.12,9.50,115.36
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,32,5000,640000,640000,27.94,3576.87,3576.87,7153.75,90961.11,91488.84,47986.23,134834.29,175736.88,89927.89,90463.68,46939.29,133812.34,174711.02,8.14,8.09,8.06,8.12,9.21,712.42,8.01,7.89,8.15,19.55
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,16,5000,640000,640000,15.93,2038.47,2038.47,4076.95,157077.24,156802.57,80804.60,233188.19,309868.09,156126.20,155873.45,79875.50,232207.23,308890.12,7.49,7.43,7.32,7.69,8.05,1229.30,7.40,7.24,7.61,15.60
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,8,5000,640000,640000,8.60,1101.21,1101.21,2202.41,292169.93,292351.84,148265.12,436054.48,574123.32,291266.20,291443.77,147366.26,435150.63,573226.29,7.12,7.11,7.08,7.14,7.37,2285.17,7.02,6.93,7.12,18.97
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,4,5000,640000,640000,4.42,566.00,566.00,1132.00,567145.05,567502.73,285709.25,848688.23,1118707.86,566258.96,566604.48,284825.41,847806.71,1117811.52,6.98,6.97,6.95,6.99,7.25,4435.09,6.90,6.80,6.99,16.84
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,2,5000,640000,640000,2.28,292.13,292.13,584.26,1095893.05,1095508.08,549197.56,1642470.54,2167804.90,1095031.53,1094648.16,548338.71,1641610.44,2166943.05,6.78,6.78,6.76,6.80,7.03,8568.12,6.77,6.68,6.87,8.79
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,1,5000,640000,640000,1.15,147.81,147.81,295.63,2165933.64,2165975.46,1084659.39,3247319.20,4284996.03,2165078.08,2165123.88,1083801.52,3246463.94,4284137.36,6.74,6.74,6.72,6.75,6.97,16932.87,6.73,6.65,6.81,8.30
meta-llama/Llama-3.2-3B,2048,5000,640000,640000,107.88,13809.24,13809.24,27618.48,32021.43,35530.18,21722.76,39091.63,45195.70,17486.95,19412.88,6167.57,23750.22,37074.37,114.44,121.57,117.78,125.84,129.15,251.69,93.11,85.77,133.35,455.68
meta-llama/Llama-3.2-3B,1024,5000,640000,640000,113.92,14581.18,14581.18,29162.36,27688.42,28216.70,19548.98,36891.25,42737.93,19941.38,20122.94,11768.34,28758.40,37268.60,61.00,63.55,61.28,63.82,66.81,217.56,45.83,43.03,50.07,362.93
meta-llama/Llama-3.2-3B,512,5000,640000,640000,98.77,12642.02,12642.02,25284.05,29850.56,28875.67,19097.98,38981.28,49338.67,25581.93,23986.03,14252.99,38961.55,47707.93,33.61,38.04,32.69,39.12,44.51,249.37,32.38,27.51,35.24,327.26
meta-llama/Llama-3.2-3B,256,5000,640000,640000,99.63,12753.05,12753.05,25506.10,27348.31,26756.00,15370.34,38428.54,49049.36,25095.23,24546.28,13077.28,36170.84,47631.24,17.74,17.82,17.57,18.26,20.38,215.14,14.82,14.02,15.56,237.95
meta-llama/Llama-3.2-3B,128,5000,640000,640000,77.59,9931.79,9931.79,19863.58,33847.51,33769.92,18766.56,48943.72,62540.06,32404.69,32366.99,17320.13,47545.19,61218.39,11.36,11.36,11.07,11.47,13.83,273.12,10.22,9.93,10.56,139.44
meta-llama/Llama-3.2-3B,64,5000,640000,640000,53.28,6819.28,6819.28,13638.56,48376.97,48852.06,26264.59,70355.56,91909.47,47294.61,47795.91,25218.71,69307.12,90834.51,8.52,8.38,8.30,8.73,9.68,381.64,8.04,7.88,8.24,89.53
meta-llama/Llama-3.2-3B,32,5000,640000,640000,32.65,4179.30,4179.30,8358.60,77837.31,77958.16,41418.54,115072.30,150254.96,76938.08,77075.66,40525.08,114172.07,149365.98,7.08,7.07,6.97,7.10,7.99,613.06,7.00,6.88,7.13,21.07
meta-llama/Llama-3.2-3B,16,5000,640000,640000,18.22,2331.54,2331.54,4663.08,138960.20,139333.13,71751.81,206616.87,270838.15,138118.60,138492.14,70867.88,205786.15,270012.39,6.63,6.60,6.57,6.66,7.25,1093.48,6.54,6.40,6.69,19.99
meta-llama/Llama-3.2-3B,8,5000,640000,640000,9.91,1267.88,1267.88,2535.75,253820.89,253854.70,129072.55,378718.59,498704.20,253031.48,253064.16,128287.92,377935.59,497857.01,6.22,6.21,6.18,6.23,6.63,1996.27,6.16,6.05,6.28,18.40
meta-llama/Llama-3.2-3B,4,5000,640000,640000,5.07,648.75,648.75,1297.49,494879.92,494977.01,249121.31,740151.95,975878.16,494102.81,494206.41,248351.35,739373.40,975099.66,6.12,6.12,6.09,6.14,6.27,3890.72,6.07,5.98,6.19,18.10
meta-llama/Llama-3.2-3B,2,5000,640000,640000,2.61,333.45,333.45,666.90,961847.37,962524.54,484137.27,1439512.38,1898643.64,961090.13,961773.43,483380.41,1438759.50,1897882.80,5.96,5.97,5.94,5.99,6.06,7559.47,5.97,5.87,6.04,17.71
meta-llama/Llama-3.2-3B,1,5000,640000,640000,1.31,167.94,167.94,335.87,1908046.59,1909769.51,956499.76,2859957.68,3771935.42,1907294.07,1909019.27,955745.51,2859206.77,3771182.64,5.93,5.92,5.90,5.96,6.03,14994.14,5.93,5.83,6.01,17.58
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,2048,5000,640000,640000,88.06,11271.25,11271.25,22542.50,40660.92,45714.56,27833.95,49933.41,55638.19,22601.80,24955.62,7740.94,31123.96,48275.62,142.20,156.32,148.07,159.48,165.01,317.84,109.75,102.32,156.20,534.21
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,1024,5000,640000,640000,89.48,11453.39,11453.39,22906.78,35148.51,35929.88,24489.75,47362.26,54757.33,25185.34,25468.95,14226.52,36905.53,48081.76,78.45,81.92,79.19,82.33,83.37,274.76,55.45,53.09,59.55,552.11
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,512,5000,640000,640000,84.56,10823.61,10823.61,21647.23,33819.96,32431.27,20406.75,48121.07,57980.60,28475.50,26984.95,15013.91,42700.83,54411.48,42.08,42.94,42.69,43.14,44.58,264.36,31.33,30.05,32.47,261.96
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,256,5000,640000,640000,79.17,10133.45,10133.45,20266.90,34147.80,33713.44,18803.45,48408.20,61999.04,31348.77,30897.41,15982.87,45593.64,60297.87,22.04,22.17,22.09,22.28,25.01,266.94,17.02,16.15,17.78,229.62
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,128,5000,640000,640000,64.00,8191.52,8191.52,16383.04,40720.92,40555.78,22170.98,59237.28,76089.75,39006.13,38869.43,20460.79,57547.58,74556.13,13.50,13.43,13.28,13.56,14.78,327.61,11.80,11.55,12.08,208.91
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,64,5000,640000,640000,44.53,5699.80,5699.80,11399.60,57809.08,58476.23,31059.76,84469.32,110201.49,56562.42,57265.22,29840.80,83247.27,109000.05,9.82,9.61,9.57,9.70,11.30,454.48,9.26,9.06,9.48,46.70
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,32,5000,640000,640000,27.82,3561.39,3561.39,7122.77,91324.07,91771.70,48213.08,135309.47,176510.56,90287.79,90739.42,47170.92,134278.10,175481.09,8.16,8.11,8.08,8.13,9.08,714.83,8.04,7.92,8.17,19.45
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,16,5000,640000,640000,15.94,2040.61,2040.61,4081.21,158212.81,158472.97,81509.63,235457.88,309586.59,157249.99,157494.18,80517.06,234498.91,308630.83,7.58,7.55,7.52,7.65,7.94,1238.03,7.39,7.25,7.53,34.48
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,8,5000,640000,640000,8.62,1103.34,1103.34,2206.68,291358.78,291015.20,147695.45,435055.88,573408.44,290456.24,290119.60,146798.04,434158.91,572511.77,7.11,7.10,7.07,7.13,7.36,2278.91,7.01,6.92,7.11,19.11
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,4,5000,640000,640000,4.47,571.82,571.82,1143.64,561232.27,561557.47,282589.17,839782.52,1107415.11,560353.64,560676.39,281713.14,838906.18,1106537.82,6.92,6.91,6.89,6.94,7.12,4388.84,6.88,6.78,6.97,15.11
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,2,5000,640000,640000,2.28,291.43,291.43,582.87,1099661.41,1099709.54,550949.41,1648912.77,2173046.49,1098797.98,1098843.83,550085.51,1648047.51,2172185.63,6.80,6.79,6.77,6.81,7.07,8597.55,6.80,6.68,6.89,8.46
