model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,2048,5000,640000,640000,67.09,8587.07,8587.07,17174.13,47828.93,40581.09,,,,31216.91,27294.06,,,61724.02,,,,,,537.97,81.18,,,7532.83
meta-llama/Llama-3.1-8B,1024,5000,640000,640000,68.07,8713.33,8713.33,17426.65,44184.18,45326.74,,,,33117.00,33024.49,,,62859.78,,,,,,471.70,65.96,,,7726.78
meta-llama/Llama-3.1-8B,512,5000,640000,640000,64.14,8210.13,8210.13,16420.26,43640.07,41595.60,,,,37508.56,35609.44,,,72559.04,,,,,,397.69,39.13,,,1477.75
meta-llama/Llama-3.1-8B,256,5000,640000,640000,54.70,7002.15,7002.15,14004.31,48114.37,46885.13,,,,44662.37,43411.03,,,87406.17,,,,,,401.52,25.41,,,577.35
meta-llama/Llama-3.1-8B,128,5000,640000,640000,41.10,5261.16,5261.16,10522.33,61114.92,60561.19,,,,58681.05,58010.61,,,116199.39,,,,,,497.50,18.31,,,271.51
meta-llama/Llama-3.1-8B,64,5000,640000,640000,26.53,3395.61,3395.61,6791.21,94562.70,94947.78,,,,92451.06,92694.05,,,183034.21,,,,,,759.64,15.58,,,187.38
meta-llama/Llama-3.1-8B,32,5000,640000,640000,15.33,1962.79,1962.79,3925.58,162902.46,162615.81,,,,160985.76,160630.11,,,319296.65,,,,,,1316.69,14.40,,,90.96
meta-llama/Llama-3.1-8B,16,5000,640000,640000,8.55,1094.25,1094.25,2188.50,291375.34,288420.70,,,,289629.11,286696.11,,,576177.55,,,,,,2331.51,13.45,,,46.09
meta-llama/Llama-3.1-8B,8,5000,640000,640000,4.52,579.19,579.19,1158.38,554817.56,558304.25,,,,553118.73,556574.31,,,1090497.96,,,,,,4421.61,13.35,,,41.56
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.37,302.74,302.74,605.47,1049338.17,1043389.69,,,,1047692.93,1041733.85,,,2090870.67,,,,,,8350.41,13.00,,,39.90
meta-llama/Llama-3.1-8B,2,5000,640000,640000,1.20,153.97,153.97,307.94,2074914.10,2071704.72,,,,2073291.42,2070000.06,,,4112028.33,,,,,,16491.92,12.81,,,39.08
meta-llama/Llama-3.1-8B,1,5000,640000,640000,0.61,78.71,78.71,157.42,4033964.65,4017261.22,,,,4032377.46,4015633.09,,,8046068.24,,,,,,32041.89,12.44,,,38.23
