model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,2048,5000,640000,640000,66.79,8549.02,8549.02,17098.04,51267.52,53787.97,30953.43,66042.82,73671.35,29332.48,32640.52,8526.67,37983.12,59166.37,,,138.43,182.46,427.02,565.32,118.12,91.47,162.53,7768.08
meta-llama/Llama-3.1-8B,1024,5000,640000,640000,70.75,9056.09,9056.09,18112.19,42131.6,42274.81,29206.67,56420.37,69440.72,31626.85,31418.96,17566.81,45231.41,59971.3,,,69.39,92.88,109.94,501.6,73.47,64.4,83.85,8167.25
meta-llama/Llama-3.1-8B,512,5000,640000,640000,63.43,8119.34,8119.34,16238.68,43820.07,40758.0,25483.97,63753.6,77349.4,38000.69,35179.17,19330.23,57154.85,72895.56,,,43.38,52.13,59.46,426.95,39.78,34.85,45.84,1872.61
meta-llama/Llama-3.1-8B,256,5000,640000,640000,54.36,6958.39,6958.39,13916.77,48498.46,47097.14,25319.69,69436.45,90403.53,45074.86,43811.68,21827.9,66229.68,87899.94,,,26.15,30.97,35.13,419.05,25.34,22.96,27.5,685.92
meta-llama/Llama-3.1-8B,128,5000,640000,640000,41.04,5253.73,5253.73,10507.47,61630.92,61049.91,31291.2,91431.3,118885.65,59235.51,58502.42,28959.35,88816.93,116358.74,,,18.38,20.31,23.86,511.07,17.79,17.13,20.77,284.23
meta-llama/Llama-3.1-8B,64,5000,640000,640000,25.56,3271.14,3271.14,6542.28,96244.12,95835.64,48090.47,143344.19,192164.71,94178.14,93698.27,46120.59,141078.26,189885.78,,,15.58,17.88,18.05,778.55,15.77,15.12,18.56,53.36
meta-llama/Llama-3.1-8B,32,5000,640000,640000,14.89,1905.99,1905.99,3811.98,166162.71,165230.1,83350.66,249530.53,330578.4,164184.27,163167.82,81378.21,247443.21,328528.21,,,15.26,16.29,17.13,1332.53,14.62,14.22,15.18,90.52
meta-llama/Llama-3.1-8B,16,5000,640000,640000,8.3,1062.73,1062.73,2125.45,298592.85,297179.53,148368.52,448521.45,594786.3,296783.19,295320.93,146593.71,446663.48,592928.99,,,14.06,14.67,15.18,2389.78,13.85,13.42,14.27,61.26
meta-llama/Llama-3.1-8B,8,5000,640000,640000,4.44,568.82,568.82,1137.65,560974.23,559146.15,280267.41,842753.75,1112519.12,559246.49,557371.76,278351.54,841022.8,1110745.22,,,13.51,13.94,14.13,4487.52,13.6,13.2,13.97,42.03
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.31,295.82,295.82,591.63,1078024.92,1075193.96,533190.35,1622024.42,2140820.22,1076340.9,1073504.1,531512.55,1620319.22,2139120.42,,,13.11,13.49,15.61,8596.03,13.25,12.85,13.66,41.06
meta-llama/Llama-3.1-8B,2,5000,640000,640000,1.18,151.66,151.66,303.33,2108859.68,2102886.14,1061290.48,3163497.43,4175520.39,2107214.12,2101258.26,1059660.27,3161850.4,4173890.83,,,12.8,13.1,15.52,16823.39,12.97,12.53,13.38,40.5
meta-llama/Llama-3.1-8B,1,5000,640000,640000,0.59,76.02,76.02,152.03,4203809.46,4202970.88,2090114.18,6315863.59,8336972.56,4202166.44,4201310.98,2088529.78,6314194.67,8335298.78,,,12.8,13.18,14.13,33440.9,13.01,12.58,13.38,39.89
meta-llama/Llama-3.1-8B,2048,5000,640000,640000,67.09,8587.07,8587.07,17174.13,47828.93,40581.09,,,,31216.91,27294.06,,,61724.02,,,,,,537.97,81.18,,,7532.83
meta-llama/Llama-3.1-8B,1024,5000,640000,640000,68.07,8713.33,8713.33,17426.65,44184.18,45326.74,,,,33117.0,33024.49,,,62859.78,,,,,,471.7,65.96,,,7726.78
meta-llama/Llama-3.1-8B,512,5000,640000,640000,64.14,8210.13,8210.13,16420.26,43640.07,41595.6,,,,37508.56,35609.44,,,72559.04,,,,,,397.69,39.13,,,1477.75
meta-llama/Llama-3.1-8B,256,5000,640000,640000,54.7,7002.15,7002.15,14004.31,48114.37,46885.13,,,,44662.37,43411.03,,,87406.17,,,,,,401.52,25.41,,,577.35
meta-llama/Llama-3.1-8B,128,5000,640000,640000,41.1,5261.16,5261.16,10522.33,61114.92,60561.19,,,,58681.05,58010.61,,,116199.39,,,,,,497.5,18.31,,,271.51
meta-llama/Llama-3.1-8B,64,5000,640000,640000,26.53,3395.61,3395.61,6791.21,94562.7,94947.78,,,,92451.06,92694.05,,,183034.21,,,,,,759.64,15.58,,,187.38
meta-llama/Llama-3.1-8B,32,5000,640000,640000,15.33,1962.79,1962.79,3925.58,162902.46,162615.81,,,,160985.76,160630.11,,,319296.65,,,,,,1316.69,14.4,,,90.96
meta-llama/Llama-3.1-8B,16,5000,640000,640000,8.55,1094.25,1094.25,2188.5,291375.34,288420.7,,,,289629.11,286696.11,,,576177.55,,,,,,2331.51,13.45,,,46.09
meta-llama/Llama-3.1-8B,8,5000,640000,640000,4.52,579.19,579.19,1158.38,554817.56,558304.25,,,,553118.73,556574.31,,,1090497.96,,,,,,4421.61,13.35,,,41.56
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.37,302.74,302.74,605.47,1049338.17,1043389.69,,,,1047692.93,1041733.85,,,2090870.67,,,,,,8350.41,13.0,,,39.9
meta-llama/Llama-3.1-8B,2,5000,640000,640000,1.2,153.97,153.97,307.94,2074914.1,2071704.72,,,,2073291.42,2070000.06,,,4112028.33,,,,,,16491.92,12.81,,,39.08
meta-llama/Llama-3.1-8B,1,5000,640000,640000,0.61,78.71,78.71,157.42,4033964.65,4017261.22,,,,4032377.46,4015633.09,,,8046068.24,,,,,,32041.89,12.44,,,38.23
meta-llama/Llama-3.1-8B,2048,5000,640000,640000,67.74,8671.14,8671.14,17342.28,50752.78,53336.96,30849.35,65069.5,72699.67,29093.79,32201.04,8705.81,37505.83,58154.33,,,138.44,175.08,421.6,676.87,149.54,112.12,200.54,9816.44
meta-llama/Llama-3.1-8B,1024,5000,640000,640000,68.43,8758.52,8758.52,17517.04,43768.92,44740.73,30312.82,58780.26,71894.62,32882.61,32631.34,17857.92,47540.66,62405.88,,,75.26,97.83,111.4,503.86,72.95,63.53,83.51,8413.93
meta-llama/Llama-3.1-8B,512,5000,640000,640000,64.88,8304.29,8304.29,16608.59,42786.39,39952.98,25165.2,62294.69,75616.23,37127.9,34589.61,19087.46,55878.65,71281.9,,,41.93,51.06,58.52,408.47,37.91,32.79,43.9,1835.38
