model_path,max_num_seqs,mean_cc,min_cc,max_cc,std_dev_cc,cv_cc
meta-llama/Llama-3.1-8B,1,154.725,152.03,157.42,3.8113055505954816,0.024632771372405764
meta-llama/Llama-3.1-8B,2,305.635,303.33,307.94,3.259762261269994,0.010665539814713609
meta-llama/Llama-3.1-8B,4,598.55,591.63,605.47,9.786357851621881,0.016350109183229204
meta-llama/Llama-3.1-8B,8,1160.4233333333334,1137.65,1185.24,23.860708986392908,0.020562072737586777
meta-llama/Llama-3.1-8B,16,2156.4566666666665,2125.45,2188.5,31.53778104644236,0.014624815575446617
meta-llama/Llama-3.1-8B,32,3889.4133333333334,3811.98,3930.68,67.10769950857613,0.01725393877103383
meta-llama/Llama-3.1-8B,64,6657.900000000001,6542.28,6791.21,125.40429936808398,0.018835413473930817
meta-llama/Llama-3.1-8B,128,10570.083333333334,10507.47,10680.45,95.8686900574604,0.009069814024562467
meta-llama/Llama-3.1-8B,256,14057.533333333333,13916.77,14251.52,173.60568260668506,0.012349654700446685
meta-llama/Llama-3.1-8B,512,16422.51,16238.68,16608.59,184.96526403625126,0.011262910726572907
meta-llama/Llama-3.1-8B,1024,17685.293333333335,17426.65,18112.19,372.45558263144767,0.021060186880216623
meta-llama/Llama-3.1-8B,2048,17204.816666666666,17098.04,17342.28,124.97819023066931,0.007264139609973645
