model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,1024,5000,640000,640000,78.61,10061.94,10061.94,20123.88,38102.71,38963.6,,,,28375.27,28274.54,,,54523.25,,,,,,76.61,43.98,,,600.78
meta-llama/Llama-3.1-8B,512,5000,640000,640000,76.05,9734.18,9734.18,19468.37,36300.3,34248.81,,,,31374.0,29284.2,,,60952.63,,,,,,38.8,29.38,,,312.29
meta-llama/Llama-3.1-8B,256,5000,640000,640000,69.87,8942.97,8942.97,17885.95,37557.44,36616.34,,,,34858.44,33959.49,,,68354.6,,,,,,21.26,18.52,,,168.69
meta-llama/Llama-3.1-8B,128,5000,640000,640000,52.69,6744.0,6744.0,13487.99,48469.35,48392.0,,,,46589.66,46356.56,,,90737.57,,,,,,14.81,13.81,,,73.72
meta-llama/Llama-3.1-8B,64,5000,640000,640000,34.55,4421.86,4421.86,8843.71,73142.01,73503.82,,,,71585.6,71761.0,,,140883.86,,,,,,12.26,11.9,,,20.27
meta-llama/Llama-3.1-8B,32,5000,640000,640000,20.46,2619.48,2619.48,5238.97,122746.59,123322.06,,,,121371.15,121927.41,,,238705.18,,,,,,10.83,10.89,,,15.6
meta-llama/Llama-3.1-8B,16,5000,640000,640000,11.2,1433.32,1433.32,2866.64,223888.83,224144.12,,,,222542.77,222792.93,,,439635.7,,,,,,10.6,10.49,,,16.01
meta-llama/Llama-3.1-8B,8,5000,640000,640000,5.99,766.72,766.72,1533.44,418047.96,418000.22,,,,416771.09,416715.1,,,824010.8,,,,,,10.06,10.1,,,11.77
meta-llama/Llama-3.1-8B,4,5000,640000,640000,3.07,393.05,393.05,786.09,814752.9,814657.51,,,,813486.93,813389.04,,,1610047.07,,,,,,9.97,9.99,,,11.47
meta-llama/Llama-3.1-8B,2,5000,640000,640000,1.55,199.04,199.04,398.08,1608069.23,1607873.48,,,,1606811.07,1606613.42,,,3180667.53,,,,,,9.91,9.93,,,11.35
meta-llama/Llama-3.1-8B,1,5000,640000,640000,0.79,101.24,101.24,202.47,3160391.56,3159892.9,,,,3159153.3,3158653.43,,,6255981.56,,,,,,9.75,9.77,,,11.34
meta-llama/Llama-3.1-8B,2048,5000,640000,640000,76.67,9813.76,9813.76,19627.52,44516.21,47189.81,,,,25397.63,28426.64,,,51648.61,,,,,,150.56,69.46,,,659.0
meta-llama/Llama-3.1-8B,1024,5000,640000,640000,78.66,10068.57,10068.57,20137.14,38190.07,38848.48,,,,28451.04,28360.8,,,54461.63,,,,,,76.7,46.46,,,537.42
meta-llama/Llama-3.1-8B,512,5000,640000,640000,76.1,9740.4,9740.4,19480.81,36399.48,34012.1,,,,31488.25,29446.82,,,60907.82,,,,,,38.68,31.45,,,255.89
meta-llama/Llama-3.1-8B,256,5000,640000,640000,68.78,8803.72,8803.72,17607.44,38273.38,37336.51,,,,35504.92,34619.09,,,69539.6,,,,,,21.8,18.94,,,143.49
meta-llama/Llama-3.1-8B,128,5000,640000,640000,52.75,6752.18,6752.18,13504.35,48404.4,48290.85,,,,46514.63,46267.41,,,90647.01,,,,,,14.88,13.79,,,68.91
meta-llama/Llama-3.1-8B,64,5000,640000,640000,34.5,4415.88,4415.88,8831.77,73331.77,73759.8,,,,71775.43,72004.54,,,141057.41,,,,,,12.26,11.91,,,20.15
