model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,2048,5000,640000,640000,64.81,8295.68,8295.68,16591.37,54506.53,60902.30,35542.71,67501.75,75692.74,30970.99,34223.49,10260.69,42431.62,66323.27,185.32,199.17,194.82,210.07,266.81,429.39,137.63,119.36,221.08,701.88
meta-llama/Llama-3.1-8B,1024,5000,640000,640000,67.51,8640.84,8640.84,17281.68,47070.15,48024.01,32807.55,63209.49,72538.47,33914.08,34145.66,19082.80,49313.61,64179.16,103.59,108.55,106.53,109.26,114.14,370.80,73.04,67.03,79.82,522.85
meta-llama/Llama-3.1-8B,512,5000,640000,640000,64.69,8280.83,8280.83,16561.65,44670.59,43035.61,27332.76,63321.41,75635.48,37721.02,35912.96,20300.62,56249.42,71515.28,54.72,55.88,55.61,56.55,60.51,351.90,39.58,37.86,41.06,357.11
meta-llama/Llama-3.1-8B,256,5000,640000,640000,58.52,7490.90,7490.90,14981.81,46421.13,45782.92,25781.11,65492.07,83750.40,42612.58,41997.27,21991.58,61699.18,81402.27,29.99,29.86,29.69,30.84,32.94,365.70,22.98,22.06,23.88,316.77
meta-llama/Llama-3.1-8B,128,5000,640000,640000,44.06,5639.42,5639.42,11278.84,59210.48,59126.77,32133.67,86124.58,110611.96,56659.98,56672.72,29681.63,83569.93,108321.77,20.08,19.94,19.39,20.79,22.94,476.55,17.12,16.74,17.62,289.24
meta-llama/Llama-3.1-8B,64,5000,640000,640000,28.86,3693.99,3693.99,7387.99,88934.87,89949.87,47686.21,130091.45,170011.29,86940.56,87995.18,45712.28,128126.25,168026.86,15.70,15.63,15.48,15.84,17.01,702.89,14.61,14.28,14.95,167.98
meta-llama/Llama-3.1-8B,32,5000,640000,640000,17.42,2229.43,2229.43,4458.85,145722.96,146816.70,76435.09,216278.78,282090.24,143992.91,145085.45,74695.67,214570.88,280334.75,13.62,13.60,13.42,13.75,14.51,1150.11,13.05,12.84,13.33,90.45
meta-llama/Llama-3.1-8B,16,5000,640000,640000,9.89,1266.14,1266.14,2532.28,256167.68,257938.05,131234.77,381970.05,498967.75,254624.58,256379.55,129676.81,380462.78,497465.41,12.15,12.20,11.87,12.33,12.77,2019.56,12.03,11.81,12.30,36.73
meta-llama/Llama-3.1-8B,8,5000,640000,640000,5.20,666.19,666.19,1332.39,481924.25,480920.39,244428.74,719979.66,949746.79,480414.53,479410.19,242918.01,718452.53,948224.84,11.89,11.91,11.80,11.95,12.16,3798.58,11.74,11.54,11.96,35.20
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.67,341.78,341.78,683.56,937539.73,937877.30,470510.90,1403699.01,1852749.39,936062.84,936404.29,469035.18,1402214.89,1851262.87,11.63,11.62,11.59,11.67,11.90,7389.15,11.58,11.37,11.82,34.68
meta-llama/Llama-3.1-8B,2,5000,640000,640000,1.36,174.07,174.07,348.15,1839407.77,1840392.31,921036.58,2756723.64,3638001.29,1837955.45,1838946.10,919567.54,2755293.94,3636543.37,11.44,11.44,11.39,11.48,11.60,14495.53,11.43,11.21,11.66,34.22
meta-llama/Llama-3.1-8B,1,5000,640000,640000,0.68,87.08,87.08,174.17,3676348.93,3677702.92,1838234.95,5514392.76,7274673.62,3674900.06,3676265.21,1836765.62,5512938.95,7273248.99,11.41,11.45,11.30,11.50,11.65,28966.51,11.40,11.18,11.63,34.18
meta-llama/Llama-3.2-3B,2048,5000,640000,640000,105.88,13552.97,13552.97,27105.94,34135.77,37951.74,23712.54,41048.18,45796.28,19238.32,22345.80,6938.57,25737.12,39362.96,117.30,129.01,120.60,132.86,140.21,268.22,106.75,97.87,121.59,608.80
meta-llama/Llama-3.2-3B,1024,5000,640000,640000,85.03,10884.15,10884.15,21768.31,36477.37,32640.74,27790.82,51566.89,57334.49,27897.15,32608.74,15797.59,45284.86,53269.62,67.56,85.68,37.57,94.44,99.15,319.47,76.59,45.35,89.47,427.72
meta-llama/Llama-3.2-3B,512,5000,640000,640000,86.62,11087.58,11087.58,22175.15,32851.27,30982.98,20767.75,48285.22,56311.63,28146.33,30959.33,14909.21,42177.71,52588.54,37.05,43.21,32.29,46.10,49.97,281.18,36.78,28.94,40.96,365.28
meta-llama/Llama-3.2-3B,256,5000,640000,640000,88.81,11367.13,11367.13,22734.25,30430.23,29338.74,17171.56,42978.41,54234.65,27922.75,26985.47,14533.68,40310.51,52303.40,19.74,20.04,18.71,20.56,23.11,241.83,17.74,16.60,18.99,209.46
meta-llama/Llama-3.2-3B,128,5000,640000,640000,71.02,9090.06,9090.06,18180.12,36991.63,36886.86,20735.21,53224.61,68034.98,35413.70,35349.79,19227.22,51637.35,66565.82,12.42,12.34,12.16,12.59,13.74,304.59,11.24,10.77,11.78,131.20
