model_path,max_num_seqs,mean_cc,min_cc,max_cc,std_dev_cc,cv_cc
meta-llama/Llama-3.1-8B,1,174.53333333333333,174.17,174.96,0.39878983604568125,0.0022848921087414895
meta-llama/Llama-3.1-8B,2,347.75666666666666,347.15,348.15,0.533041586870428,0.001532800483682349
meta-llama/Llama-3.1-8B,4,685.1266666666667,683.56,687.02,1.7529784178173469,0.0025586194540435504
meta-llama/Llama-3.1-8B,8,1334.7066666666667,1331.11,1340.62,5.160933378114126,0.003866717314751424
meta-llama/Llama-3.1-8B,16,2513.6966666666667,2498.6,2532.28,17.108571925597364,0.006806140196814002
meta-llama/Llama-3.1-8B,32,4496.78,4458.85,4526.78,34.6523433551031,0.00770603484162076
meta-llama/Llama-3.1-8B,64,7455.426666666666,7387.99,7515.61,64.11843910555966,0.008600237380408287
meta-llama/Llama-3.1-8B,128,11411.783333333333,11278.84,11517.59,121.66630442868454,0.010661462882256308
meta-llama/Llama-3.1-8B,256,15097.266666666668,14981.81,15204.91,111.75503851430312,0.0074023358652760395
meta-llama/Llama-3.1-8B,512,16661.02,16561.65,16843.03,157.84708834818449,0.009474035103984299
meta-llama/Llama-3.1-8B,1024,17351.906666666666,17221.62,17552.42,176.2271220139882,0.010156066730840812
meta-llama/Llama-3.1-8B,2048,16468.266666666666,16372.9,16591.37,111.8448802285238,0.006791539297509096
meta-llama/Llama-3.2-3B,1,297.37333333333333,294.17,301.39,3.678074677509024,0.01236854238502345
meta-llama/Llama-3.2-3B,2,590.5133333333333,576.21,600.09,12.622188135712978,0.021374941806077703
meta-llama/Llama-3.2-3B,4,1148.1033333333335,1120.4,1162.95,24.012414150462405,0.020914854485045632
meta-llama/Llama-3.2-3B,8,2245.866666666667,2228.49,2255.44,15.074635429533183,0.006712168470761051
meta-llama/Llama-3.2-3B,16,4133.616666666667,4051.97,4179.02,70.85626319058436,0.017141469300229664
meta-llama/Llama-3.2-3B,32,7268.816666666667,7056.44,7395.2,185.02898268469573,0.02545517257756706
meta-llama/Llama-3.2-3B,64,12061.833333333334,11933.28,12174.07,121.22141408733492,0.01004999909527313
meta-llama/Llama-3.2-3B,128,17941.929999999997,17763.6,18180.12,214.61510268385268,0.011961650875009059
meta-llama/Llama-3.2-3B,256,22431.690000000002,21446.29,23114.53,874.3072055061639,0.03897643046538911
meta-llama/Llama-3.2-3B,512,23107.126666666667,22175.15,23878.28,862.8795151313592,0.037342570869103885
meta-llama/Llama-3.2-3B,1024,22558.666666666668,21507.08,24400.61,1600.5082663433304,0.07094870853818178
meta-llama/Llama-3.2-3B,2048,25707.55,24453.44,27105.94,1332.1229677848812,0.05181835561089568
