model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,32,5000,640000,640000,17.55,2247.02,2247.02,4494.04,144205.05,145190.78,,,,142544.21,143530.42,,,278500.61,,,,,,1129.03,12.97,,,24.73
meta-llama/Llama-3.1-8B,16,5000,640000,640000,9.70,1241.18,1241.18,2482.36,258734.17,258202.89,,,,257159.15,256604.81,,,507703.96,,,,,,2024.20,12.31,,,20.35
meta-llama/Llama-3.1-8B,8,5000,640000,640000,5.21,667.30,667.30,1334.60,481540.21,482176.68,,,,480037.57,480676.45,,,946568.35,,,,,,3766.08,11.77,,,24.56
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.63,336.22,336.22,672.44,948944.16,948232.81,,,,947440.69,946699.01,,,1881809.63,,,,,,7419.77,11.83,,,17.69
meta-llama/Llama-3.1-8B,32,5000,640000,640000,17.44,2231.77,2231.77,4463.53,145148.57,145764.70,,,,143479.75,144098.10,,,280227.20,,,,,,1136.13,13.02,,,24.56
meta-llama/Llama-3.1-8B,16,5000,640000,640000,9.80,1254.82,1254.82,2509.64,257500.52,257946.05,,,,255941.69,256415.05,,,502285.61,,,,,,2014.45,12.14,,,23.44
meta-llama/Llama-3.1-8B,8,5000,640000,640000,5.24,670.22,670.22,1340.44,478600.78,477922.41,,,,477103.94,476436.61,,,942866.31,,,,,,3743.04,11.73,,,24.57
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.69,344.52,344.52,689.05,930886.39,933406.02,,,,929418.60,931950.86,,,1837144.41,,,,,,7279.17,11.51,,,16.07
meta-llama/Llama-3.1-8B,32,5000,640000,640000,17.45,2233.46,2233.46,4466.91,144977.18,145694.48,,,,143308.58,144035.51,,,280131.69,,,,,,1134.68,13.03,,,23.98
meta-llama/Llama-3.1-8B,16,5000,640000,640000,9.80,1254.13,1254.13,2508.26,256908.54,257698.91,,,,255349.06,256141.16,,,502526.44,,,,,,2009.71,12.17,,,22.28
meta-llama/Llama-3.1-8B,8,5000,640000,640000,5.21,666.68,666.68,1333.35,481960.38,481350.22,,,,480456.01,479842.96,,,947886.48,,,,,,3769.55,11.77,,,24.69
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.69,344.02,344.02,688.04,931632.81,929965.20,,,,930162.79,928505.89,,,1839913.13,,,,,,7285.01,11.54,,,16.25
