model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,32,5000,640000,640000,18.40,2355.27,2355.27,4710.55,137506.82,138210.61,,,,135926.58,136639.58,,,265724.14,,,,,,1075.72,12.32,,,25.22
meta-llama/Llama-3.1-8B,16,5000,640000,640000,10.27,1313.96,1313.96,2627.93,244965.06,245439.45,,,,243475.85,243958.65,,,479892.34,,,,,,1916.04,11.62,,,23.05
meta-llama/Llama-3.1-8B,8,5000,640000,640000,5.54,708.54,708.54,1417.08,453360.34,453271.76,,,,451944.89,451865.25,,,892046.86,,,,,,3545.42,11.08,,,25.46
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.83,362.69,362.69,725.39,883716.05,883646.85,,,,882321.18,882273.24,,,1745066.34,,,,,,6910.21,10.95,,,15.09
meta-llama/Llama-3.1-8B,32,5000,640000,640000,18.46,2362.38,2362.38,4724.77,136869.54,137543.42,,,,135293.55,135972.24,,,265016.15,,,,,,1071.17,12.32,,,22.22
meta-llama/Llama-3.1-8B,16,5000,640000,640000,10.29,1317.39,1317.39,2634.78,244173.41,244459.44,,,,242666.32,242953.04,,,478575.08,,,,,,1910.18,11.63,,,38.66
meta-llama/Llama-3.1-8B,8,5000,640000,640000,5.51,705.38,705.38,1410.76,455570.36,455243.00,,,,454148.28,453815.15,,,896016.51,,,,,,3562.61,11.12,,,25.20
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.83,362.43,362.43,724.85,884700.50,884564.84,,,,883304.10,883161.75,,,1746336.18,,,,,,6917.84,10.97,,,14.60
meta-llama/Llama-3.1-8B,32,5000,640000,640000,18.39,2353.44,2353.44,4706.88,137461.53,138156.81,,,,135879.26,136575.45,,,266002.59,,,,,,1075.69,12.36,,,22.23
meta-llama/Llama-3.1-8B,16,5000,640000,640000,10.27,1314.95,1314.95,2629.90,244586.72,245186.33,,,,243098.98,243706.97,,,479331.32,,,,,,1913.13,11.62,,,20.06
meta-llama/Llama-3.1-8B,8,5000,640000,640000,5.52,706.21,706.21,1412.41,454619.78,454301.54,,,,453199.71,452887.51,,,894957.79,,,,,,3555.18,11.11,,,24.07
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.83,362.34,362.34,724.67,884935.81,884899.15,,,,883539.11,883499.10,,,1746812.49,,,,,,6919.49,10.97,,,14.98
