model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,32,5000,640000,640000,13.18,1686.59,1686.59,3373.18,192242.30,192998.75,,,,189979.97,190761.72,,,371319.59,,,,,,1515.91,17.70,,,53.29
meta-llama/Llama-3.1-8B,16,5000,640000,640000,6.59,842.96,842.96,1685.91,376125.61,372740.27,,,,373771.66,370392.81,,,748259.40,,,,,,2964.37,18.29,,,56.33
meta-llama/Llama-3.1-8B,8,5000,640000,640000,3.27,419.08,419.08,838.16,748161.90,743439.97,,,,745750.14,740852.73,,,1507385.36,,,,,,5895.86,19.56,,,59.15
meta-llama/Llama-3.1-8B,4,5000,640000,640000,1.67,213.30,213.30,426.60,1542697.97,1593861.65,,,,1540315.92,1591499.44,,,2970078.89,,,,,,12157.68,18.57,,,53.84
meta-llama/Llama-3.1-8B,32,5000,640000,640000,12.77,1634.06,1634.06,3268.11,194824.23,194912.52,,,,192487.59,192662.77,,,382252.37,,,,,,1536.19,18.00,,,54.23
meta-llama/Llama-3.1-8B,16,5000,640000,640000,6.61,845.67,845.67,1691.33,389173.36,393958.87,,,,386825.45,391716.27,,,746125.39,,,,,,3067.20,17.98,,,54.54
meta-llama/Llama-3.1-8B,8,5000,640000,640000,3.41,437.04,437.04,874.07,737222.76,746254.29,,,,734910.70,743634.42,,,1446665.37,,,,,,5809.71,17.92,,,53.43
meta-llama/Llama-3.1-8B,4,5000,640000,640000,1.76,225.57,225.57,451.15,1420343.37,1425834.98,,,,1418091.56,1423550.78,,,2805798.90,,,,,,11192.95,17.59,,,52.45
meta-llama/Llama-3.1-8B,32,5000,640000,640000,12.74,1630.53,1630.53,3261.06,198473.31,200090.84,,,,196079.20,197711.93,,,383824.32,,,,,,1565.09,18.40,,,102.49
meta-llama/Llama-3.1-8B,16,5000,640000,640000,6.42,821.90,821.90,1643.81,393349.86,398228.73,,,,390934.27,395959.15,,,767688.52,,,,,,3100.35,18.77,,,57.74
meta-llama/Llama-3.1-8B,8,5000,640000,640000,3.23,413.32,413.32,826.63,757393.99,744932.17,,,,754948.79,742371.10,,,1531109.80,,,,,,5968.68,19.86,,,59.84
meta-llama/Llama-3.1-8B,4,5000,640000,640000,1.80,230.01,230.01,460.01,1390969.86,1388660.94,,,,1388761.56,1386527.74,,,2750793.53,,,,,,10961.48,17.38,,,52.10
