model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,32,5000,640000,640000,17.55,2246.57,2246.57,4493.14,144040.23,144768.78,,,,142314.08,143068.51,,,278625.56,,,,,,1136.11,13.06,,,77.19
meta-llama/Llama-3.1-8B,16,5000,640000,640000,9.53,1219.95,1219.95,2439.90,263974.79,264183.38,,,,262366.97,262574.42,,,516928.62,,,,,,2080.84,12.58,,,37.95
meta-llama/Llama-3.1-8B,8,5000,640000,640000,5.04,645.69,645.69,1291.38,500192.65,501576.28,,,,498636.28,500038.84,,,979043.49,,,,,,3942.04,12.12,,,36.30
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.63,336.01,336.01,672.03,954500.52,954528.13,,,,952992.92,953021.09,,,1883692.64,,,,,,7522.37,11.85,,,35.52
meta-llama/Llama-3.1-8B,32,5000,640000,640000,17.43,2231.26,2231.26,4462.51,144930.38,145667.89,,,,143253.77,143998.09,,,280570.00,,,,,,1143.24,13.09,,,39.38
meta-llama/Llama-3.1-8B,16,5000,640000,640000,9.62,1231.33,1231.33,2462.67,261670.96,262093.08,,,,260077.48,260503.50,,,512154.44,,,,,,2062.77,12.46,,,37.56
meta-llama/Llama-3.1-8B,8,5000,640000,640000,5.04,645.64,645.64,1291.29,497527.66,496305.62,,,,495971.23,494768.33,,,979125.78,,,,,,3921.28,12.16,,,36.41
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.63,336.13,336.13,672.27,954973.10,956328.49,,,,953466.16,954814.58,,,1882995.43,,,,,,7526.10,11.85,,,35.49
meta-llama/Llama-3.1-8B,32,5000,640000,640000,17.45,2233.34,2233.34,4466.69,144936.88,145591.13,,,,143261.10,143917.63,,,280318.23,,,,,,1143.12,13.07,,,39.32
meta-llama/Llama-3.1-8B,16,5000,640000,640000,9.62,1231.86,1231.86,2463.71,261469.72,261976.52,,,,259876.91,260394.97,,,511714.92,,,,,,2060.72,12.44,,,37.56
meta-llama/Llama-3.1-8B,8,5000,640000,640000,5.11,654.53,654.53,1309.05,490256.38,489961.50,,,,488721.37,488432.99,,,965740.06,,,,,,3864.02,12.01,,,36.00
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.61,334.51,334.51,669.02,959447.64,959486.92,,,,957933.09,957971.18,,,1892190.24,,,,,,7561.46,11.90,,,35.70
