model_path,max_num_seqs,mean_cc,min_cc,max_cc,std_dev_cc,cv_cc
meta-llama/Llama-3.2-3B,1,249.57999999999998,248.69,250.47,1.2586500705120656,0.005043072644090293
meta-llama/Llama-3.2-3B,2,476.275,472.98,479.57,4.659833688019311,0.009783914100087828
meta-llama/Llama-3.2-3B,4,946.54,918.63,974.45,39.47070052583316,0.041699981538902864
meta-llama/Llama-3.2-3B,8,1831.96,1774.99,1888.93,80.56774664839526,0.04397898788641415
meta-llama/Llama-3.2-3B,16,3324.605,3271.31,3377.9,75.3705118066742,0.022670516288904756
meta-llama/Llama-3.2-3B,32,5946.299999999999,5898.9,5993.7,67.03372285648452,0.01127318212274605
meta-llama/Llama-3.2-3B,64,9949.869999999999,9725.14,10174.6,317.81621387210566,0.03194174535668369
meta-llama/Llama-3.2-3B,128,15681.21,15490.47,15871.95,269.74709488704445,0.017201931157547482
meta-llama/Llama-3.2-3B,256,17266.97,17247.5,17286.44,27.53473805940452,0.0015946479353009379
meta-llama/Llama-3.2-3B,512,25880.345,25777.99,25982.7,144.75182917669753,0.00559311822066891
meta-llama/Llama-3.2-3B,1024,28044.15,27753.92,28334.38,410.4472022075441,0.014635751206848674
meta-llama/Llama-3.2-3B,2048,27294.075,25445.38,29142.77,2614.4495416913287,0.09578817167064019
