model_path,max_num_seqs,mean_noncc,min_noncc,max_noncc,std_dev_noncc,cv_noncc
meta-llama/Llama-3.2-3B,1,336.12,335.87,336.37,0.3535533905932738,0.0010518665672773824
meta-llama/Llama-3.2-3B,2,666.75,666.6,666.9,0.2121320343559321,0.00031815828174867953
meta-llama/Llama-3.2-3B,4,1301.075,1297.49,1304.66,5.069955621107597,0.003896743555219796
meta-llama/Llama-3.2-3B,8,2537.2650000000003,2535.75,2538.78,2.1425335469955415,0.0008444263988962051
meta-llama/Llama-3.2-3B,16,4660.82,4658.56,4663.08,3.196122650963182,0.0006857425626741348
meta-llama/Llama-3.2-3B,32,8327.650000000001,8296.7,8358.6,43.76990975544639,0.005255973744747562
meta-llama/Llama-3.2-3B,64,13545.175,13451.79,13638.56,132.06633352221115,0.009750064766399143
meta-llama/Llama-3.2-3B,128,19879.045,19863.58,19894.51,21.870812742096263,0.0011001943374089425
meta-llama/Llama-3.2-3B,256,25372.199999999997,25238.3,25506.1,189.36319600175818,0.00746341255396682
meta-llama/Llama-3.2-3B,512,26737.485,25284.05,28190.92,2055.46748902774,0.07687587254477146
meta-llama/Llama-3.2-3B,1024,28740.915,28319.47,29162.36,596.0132347943287,0.020737448156898576
meta-llama/Llama-3.2-3B,2048,28205.254999999997,27618.48,28792.03,829.825163061471,0.029420941702582457
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,1,295.63,295.63,295.63,,
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,2,583.565,582.87,584.26,0.9828784258493316,0.0016842655502802453
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,4,1137.8200000000002,1132.0,1143.64,8.230722933011403,0.007233765387329703
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,8,2204.545,2202.41,2206.68,3.019345955666384,0.0013696005097045172
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,16,4079.08,4076.95,4081.21,3.0122748878548467,0.0007384691861534578
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,32,7138.26,7122.77,7153.75,21.906168081158935,0.003068838635908321
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,64,11404.34,11399.6,11409.08,6.703372285648162,0.0005877913395819629
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,128,16380.580000000002,16378.12,16383.04,3.478965363437222,0.00021238352753308277
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,256,20271.52,20266.9,20276.14,6.533666658162259,0.00032230768379294
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,512,21635.095,21622.96,21647.23,17.16148157939653,0.0007932242303256731
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,1024,22667.385000000002,22427.99,22906.78,338.5556557643038,0.014935805597527245
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,2048,22675.65,22542.5,22808.8,188.30253582997838,0.008304173676608038
