model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,2048,5000,640000,640000,66.30,8486.86,8486.86,16973.72,51761.54,54641.24,,,,29365.73,33126.82,,,59095.15,,,,,,176.36,86.95,,,1328.08
meta-llama/Llama-3.1-8B,1024,5000,640000,640000,68.72,8796.73,8796.73,17593.45,43377.11,43968.22,,,,32457.21,32450.26,,,61833.63,,,,,,86.00,55.59,,,423.16
meta-llama/Llama-3.1-8B,512,5000,640000,640000,65.22,8347.99,8347.99,16695.99,42375.38,39058.17,,,,36789.70,34036.42,,,70614.73,,,,,,43.99,36.31,,,275.17
meta-llama/Llama-3.1-8B,256,5000,640000,640000,56.37,7214.87,7214.87,14429.73,46238.21,44713.19,,,,42975.73,41396.41,,,84369.50,,,,,,25.69,23.73,,,158.95
meta-llama/Llama-3.1-8B,128,5000,640000,640000,41.97,5372.19,5372.19,10744.37,60228.72,59743.30,,,,57867.48,57306.77,,,113513.96,,,,,,18.60,17.43,,,54.10
meta-llama/Llama-3.1-8B,64,5000,640000,640000,26.24,3359.04,3359.04,6718.08,94947.13,94620.64,,,,92834.01,92303.82,,,185212.30,,,,,,16.64,15.50,,,42.39
meta-llama/Llama-3.1-8B,32,5000,640000,640000,15.68,2006.74,2006.74,4013.49,157894.74,156701.60,,,,156018.23,154792.22,,,311726.98,,,,,,14.78,13.93,,,39.02
meta-llama/Llama-3.1-8B,16,5000,640000,640000,8.59,1099.51,1099.51,2199.03,289661.65,289002.36,,,,287925.39,287186.43,,,572938.30,,,,,,13.68,13.23,,,27.64
meta-llama/Llama-3.1-8B,8,5000,640000,640000,4.66,596.06,596.06,1192.12,535368.89,533737.21,,,,533720.36,532087.91,,,1059903.84,,,,,,12.98,12.95,,,22.49
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.43,310.53,310.53,621.05,1031274.99,1026272.12,,,,1029672.21,1024782.58,,,2037167.43,,,,,,12.62,12.56,,,22.90
meta-llama/Llama-3.1-8B,2,5000,640000,640000,1.20,153.76,153.76,307.53,2073489.01,2068030.48,,,,2071863.66,2066325.65,,,4116478.56,,,,,,12.80,12.84,,,19.78
meta-llama/Llama-3.1-8B,1,5000,640000,640000,0.62,79.01,79.01,158.03,4052167.38,4047987.49,,,,4050585.26,4046417.59,,,8016548.05,,,,,,12.46,12.43,,,21.77
