model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,2048,5000,640000,640000,66.30,8486.24,8486.24,16972.47,53404.50,59910.79,34556.66,66369.50,74348.23,30194.82,33635.69,9471.82,41552.94,65524.02,182.75,197.26,193.11,206.91,261.24,420.71,139.21,115.15,211.10,598.75
meta-llama/Llama-3.1-8B,1024,5000,640000,640000,72.15,9235.26,9235.26,18470.52,43923.68,44891.50,30329.35,59505.80,68202.55,31473.99,31735.58,17180.20,46331.96,60572.52,98.03,103.39,100.89,103.59,105.06,346.02,67.31,59.59,71.54,466.37
meta-llama/Llama-3.1-8B,512,5000,640000,640000,69.27,8866.25,8866.25,17732.51,41379.42,39923.39,24852.90,59350.74,71078.90,34822.84,33184.92,18129.17,52613.46,67355.85,51.63,53.01,52.78,53.12,54.79,325.97,36.95,35.89,38.11,325.69
meta-llama/Llama-3.1-8B,256,5000,640000,640000,63.56,8135.76,8135.76,16271.52,42454.89,41735.36,23155.19,60618.02,77568.35,38927.83,38223.75,19552.76,57093.33,75337.21,27.77,27.76,27.66,28.53,32.16,334.48,20.85,20.30,21.52,307.45
meta-llama/Llama-3.1-8B,128,5000,640000,640000,48.44,6200.27,6200.27,12400.53,53534.51,53390.67,28645.22,78444.68,100761.60,51257.44,51164.85,26343.12,76218.91,98795.11,17.93,17.88,17.55,18.12,19.72,430.86,15.34,15.06,15.62,299.63
meta-llama/Llama-3.1-8B,64,5000,640000,640000,32.12,4111.89,4111.89,8223.79,79329.19,80146.68,41710.65,116651.50,153162.45,77563.62,78419.35,39988.64,114925.87,151430.36,13.90,13.60,13.56,14.60,15.12,625.94,13.06,12.91,13.23,203.60
meta-llama/Llama-3.1-8B,32,5000,640000,640000,19.40,2483.23,2483.23,4966.45,130248.05,130848.81,67860.16,193835.02,253621.40,128714.47,129338.51,66326.69,192320.86,252109.37,12.08,11.90,11.88,12.51,12.68,1027.18,11.73,11.61,11.87,36.57
meta-llama/Llama-3.1-8B,16,5000,640000,640000,10.70,1369.46,1369.46,2738.93,235219.55,235711.44,120266.94,350932.02,461885.92,233792.27,234290.89,118831.06,349510.37,460463.46,11.24,11.19,11.17,11.22,11.62,1854.22,11.16,11.02,11.31,33.61
meta-llama/Llama-3.1-8B,8,5000,640000,640000,5.73,732.83,732.83,1465.67,438525.80,438926.10,221622.12,655442.01,863872.59,437157.17,437560.86,220214.75,654089.26,862507.42,10.78,10.76,10.73,10.80,11.16,3456.13,10.72,10.56,10.88,32.10
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.93,374.77,374.77,749.54,855993.25,856005.15,428869.13,1283518.65,1690404.10,854642.68,854624.65,427523.24,1282172.19,1689056.69,10.63,10.60,10.59,10.63,10.89,6745.64,10.61,10.45,10.77,31.74
