model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,32,5000,640000,640000,18.57,2376.90,2376.90,4753.81,137025.79,138021.74,,,,135470.70,136457.87,,,262026.08,,,,,,1074.06,12.05,,,26.78
meta-llama/Llama-3.1-8B,16,5000,640000,640000,10.51,1344.72,1344.72,2689.44,239900.27,240337.23,,,,238446.72,238655.91,,,468404.02,,,,,,1880.43,11.25,,,23.92
meta-llama/Llama-3.1-8B,8,5000,640000,640000,5.65,723.70,723.70,1447.40,444510.95,444270.56,,,,443127.23,442890.56,,,872831.71,,,,,,3478.78,10.77,,,25.49
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.92,373.17,373.17,746.33,860409.45,860574.59,,,,859057.56,859222.92,,,1695233.35,,,,,,6728.18,10.58,,,16.71
meta-llama/Llama-3.1-8B,32,5000,640000,640000,18.56,2375.29,2375.29,4750.57,137872.88,138570.33,,,,136276.92,136956.87,,,262658.77,,,,,,1081.01,12.01,,,89.81
meta-llama/Llama-3.1-8B,16,5000,640000,640000,10.48,1341.18,1341.18,2682.37,241118.17,242062.99,,,,239662.34,240550.54,,,469387.36,,,,,,1887.66,11.31,,,23.74
meta-llama/Llama-3.1-8B,8,5000,640000,640000,5.66,724.04,724.04,1448.07,444669.54,444810.85,,,,443287.04,443414.17,,,871917.87,,,,,,3480.72,10.78,,,24.86
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.91,372.22,372.22,744.45,863041.79,863176.22,,,,861686.61,861821.62,,,1699890.23,,,,,,6750.93,10.61,,,16.57
meta-llama/Llama-3.1-8B,32,5000,640000,640000,18.41,2355.92,2355.92,4711.84,138874.58,139489.32,,,,137306.35,137916.06,,,265339.27,,,,,,1088.44,12.14,,,28.04
meta-llama/Llama-3.1-8B,16,5000,640000,640000,10.48,1341.28,1341.28,2682.56,241713.59,242038.24,,,,240262.83,240601.55,,,469285.57,,,,,,1893.60,11.29,,,23.88
meta-llama/Llama-3.1-8B,8,5000,640000,640000,5.65,723.57,723.57,1447.13,445110.98,445403.28,,,,443730.05,444024.97,,,871372.88,,,,,,3483.96,10.77,,,24.43
meta-llama/Llama-3.1-8B,4,5000,640000,640000,2.91,372.04,372.04,744.09,863250.40,863187.57,,,,861893.41,861833.72,,,1700797.51,,,,,,6753.32,10.63,,,16.05
