model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,32,5000,640000,640000,10.75,1376.40,1376.40,2752.80,235607.82,236718.62,,,,232823.94,233976.92,,,452884.63,,,,,,1860.48,21.77,,,65.64
meta-llama/Llama-3.1-8B,16,5000,640000,640000,5.82,745.41,745.41,1490.81,432524.27,433988.28,,,,429855.67,431291.06,,,845316.02,,,,,,3410.57,20.88,,,62.57
meta-llama/Llama-3.1-8B,8,5000,640000,640000,2.91,372.99,372.99,745.98,871396.45,873653.32,,,,868683.51,870962.22,,,1695177.99,,,,,,6866.98,21.13,,,63.26
meta-llama/Llama-3.1-8B,4,5000,640000,640000,1.50,191.67,191.67,383.35,1681367.13,1682280.04,,,,1678719.88,1679659.71,,,3302320.73,,,,,,13250.19,20.68,,,62.03
meta-llama/Llama-3.1-8B,32,5000,640000,640000,10.25,1311.77,1311.77,2623.55,249941.78,252584.21,,,,246988.78,249576.53,,,477751.29,,,,,,1971.68,23.36,,,70.51
meta-llama/Llama-3.1-8B,16,5000,640000,640000,5.80,742.60,742.60,1485.21,432265.75,431957.59,,,,429581.96,429275.41,,,848696.48,,,,,,3407.16,20.94,,,62.77
meta-llama/Llama-3.1-8B,8,5000,640000,640000,2.75,352.10,352.10,704.20,909719.08,907378.55,,,,906844.47,904476.59,,,1795714.40,,,,,,7169.07,22.57,,,67.62
meta-llama/Llama-3.1-8B,4,5000,640000,640000,1.41,180.89,180.89,361.78,1773989.61,1775785.25,,,,1771186.66,1772944.31,,,3497744.77,,,,,,13981.43,22.04,,,66.08
meta-llama/Llama-3.1-8B,32,5000,640000,640000,10.36,1326.63,1326.63,2653.25,242364.70,243283.27,,,,239460.25,240427.44,,,469472.68,,,,,,1913.56,22.55,,,67.94
meta-llama/Llama-3.1-8B,16,5000,640000,640000,5.52,706.28,706.28,1412.56,452922.10,452512.25,,,,450099.16,449669.99,,,892402.07,,,,,,3572.59,22.24,,,66.82
meta-llama/Llama-3.1-8B,8,5000,640000,640000,2.76,353.26,353.26,706.51,909204.28,905622.48,,,,906346.40,902893.10,,,1787479.80,,,,,,7166.48,22.74,,,68.24
meta-llama/Llama-3.1-8B,4,5000,640000,640000,1.44,184.70,184.70,369.40,1742226.93,1753852.24,,,,1739481.30,1751219.29,,,3426229.95,,,,,,13730.67,21.89,,,63.87
