model_path,max_num_seqs,mean_cc,min_cc,max_cc,std_dev_cc,cv_cc
Qwen/Qwen2.5-3B,1,290.49333333333334,273.99,307.11,16.834674534028473,0.05795201680140156
Qwen/Qwen2.5-3B,2,550.5583333333333,529.35,586.42,23.232643772645986,0.04219833279424703
Qwen/Qwen2.5-3B,4,1065.8966666666668,999.89,1160.78,67.790528148604,0.06359953105079348
Qwen/Qwen2.5-3B,8,2076.1783333333333,1954.63,2204.32,112.80763580833842,0.054334270807664176
Qwen/Qwen2.5-3B,16,4137.011666666666,3892.82,4518.48,260.6586916576282,0.0630065159733161
Qwen/Qwen2.5-3B,32,7803.003333333334,7251.15,8404.2,477.1658674996233,0.061151565251963524
Qwen/Qwen2.5-3B,64,13462.533333333333,12675.33,14362.23,742.1949905696387,0.05513041061387448
Qwen/Qwen2.5-3B,128,21216.966666666667,20332.72,22134.84,836.6963876978706,0.039435250139332086
Qwen/Qwen2.5-3B,256,14129.791666666666,13740.81,14516.43,294.6515842425878,0.02085321505041683
Qwen/Qwen2.5-3B,512,22097.903333333335,21529.79,22309.23,300.6069100780397,0.01360341320819302
Qwen/Qwen2.5-3B,1024,30085.095,28943.08,30875.23,694.1091927859748,0.023071530696046533
Qwen/Qwen2.5-3B,2048,26199.006666666668,22165.7,33824.06,4025.3885049056644,0.15364660790850584
Qwen/Qwen2.5-7B,1,185.61666666666667,180.08,191.12,5.713292104090836,0.030780059822703622
Qwen/Qwen2.5-7B,2,360.54333333333335,353.83,367.29,6.0851546132096574,0.01687773438202431
Qwen/Qwen2.5-7B,4,708.5033333333334,681.35,745.86,27.44494683300857,0.03873651053113169
Qwen/Qwen2.5-7B,8,1395.385,1344.38,1461.61,52.16875568767187,0.03738663930576284
Qwen/Qwen2.5-7B,16,2665.6566666666668,2556.38,2787.44,108.2983912469003,0.0406272843015168
Qwen/Qwen2.5-7B,32,4859.791666666667,4694.15,5024.77,160.56028567695878,0.03303851207825283
Qwen/Qwen2.5-7B,64,8457.785,8043.92,8799.12,344.2995636796548,0.040708006136317504
Qwen/Qwen2.5-7B,128,13193.366666666667,12551.72,13794.43,598.7979631116546,0.045386289810661534
Qwen/Qwen2.5-7B,256,13781.938333333334,13565.6,14097.94,177.463391877499,0.012876519077746963
Qwen/Qwen2.5-7B,512,19593.471666666668,18857.74,20197.69,551.7062117981495,0.028157654814013337
Qwen/Qwen2.5-7B,1024,21292.018333333333,20214.95,22278.64,740.8502486580305,0.034794740313472586
Qwen/Qwen2.5-7B,2048,21204.563333333335,19188.33,22571.61,1266.8398496521452,0.059743736748433085
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,1,243.22,242.97,243.42,0.22912878474778828,0.0009420639122925264
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,2,459.7666666666667,452.98,472.72,11.222198239798365,0.02440846423504319
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,4,898.4699999999999,889.57,908.03,9.247680790338665,0.010292698465545536
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,8,1774.1433333333334,1738.59,1824.0,44.465222740174646,0.025062925810301628
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,16,3381.433333333333,3361.31,3396.45,18.11804165282029,0.005358095182364571
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,32,5977.813333333333,5907.16,6077.58,88.86188009114643,0.014865281857437289
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,64,9741.326666666666,9730.73,9760.5,16.635282784892297,0.0017077019747028723
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,128,14603.673333333334,14562.79,14627.02,35.52498041284908,0.0024326057973210044
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,256,13846.456666666665,13786.15,13928.96,73.94723141087326,0.005340516580598612
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,512,19192.443333333333,18777.01,19437.97,361.7571518758604,0.018848936823357042
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,1024,20329.006666666668,20207.13,20514.71,163.42198944246604,0.008038857585227053
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,2048,20736.263333333332,20666.13,20856.01,104.20995985669123,0.0050254936572479685
meta-llama/Llama-3.1-8B,1,176.344,168.68,181.46,6.767402012589463,0.038376139889020736
meta-llama/Llama-3.1-8B,2,340.54200000000003,332.53,346.08,7.22685754667962,0.021221633591978692
meta-llama/Llama-3.1-8B,4,671.762,638.87,701.55,27.920746229282564,0.04156344989636601
meta-llama/Llama-3.1-8B,8,1312.262,1247.62,1352.6,53.738435220984954,0.04095099547269143
meta-llama/Llama-3.1-8B,16,2477.21,2347.42,2558.39,109.11154590601281,0.04404614300201154
meta-llama/Llama-3.1-8B,32,4539.628,4280.78,4744.56,231.50187919323704,0.05099578185552579
meta-llama/Llama-3.1-8B,64,7709.889999999999,7274.99,8023.47,386.9122167236387,0.05018388287299026
meta-llama/Llama-3.1-8B,128,11899.768,11069.97,12476.97,716.25725247288,0.06019085855059366
meta-llama/Llama-3.1-8B,256,13180.956,12472.27,14385.51,713.7204207741293,0.05414784942565085
meta-llama/Llama-3.1-8B,512,17290.838333333333,16829.69,17958.69,534.3646457398424,0.030904496094309765
meta-llama/Llama-3.1-8B,1024,18276.65166666667,17516.8,18845.95,495.3413777756374,0.0271024138780875
meta-llama/Llama-3.1-8B,2048,17747.716666666664,17260.8,18123.6,394.77588298510125,0.02224375621944429
meta-llama/Llama-3.2-3B,1,301.1116666666667,283.19,318.29,17.319025857901643,0.057516953924850726
meta-llama/Llama-3.2-3B,2,577.2033333333334,550.11,615.68,27.368209051135715,0.04741519577353279
meta-llama/Llama-3.2-3B,4,1121.306,1044.62,1207.1,72.1577423427314,0.06435151719756367
meta-llama/Llama-3.2-3B,8,2199.88,2006.07,2372.25,161.29041726029487,0.07331782518150752
meta-llama/Llama-3.2-3B,16,4107.192,3717.74,4409.9,336.4101178175229,0.08190757038325051
