model_path,max_num_seqs,mean_noncc,min_noncc,max_noncc,std_dev_noncc,cv_noncc
Qwen/Qwen2.5-3B,1,365.00499999999994,363.09,367.59,1.8589217304663133,0.005092866482558721
Qwen/Qwen2.5-3B,2,682.37,667.96,693.17,10.43845199251301,0.015297348934614733
Qwen/Qwen2.5-3B,4,1343.0416666666667,1270.23,1374.31,37.866583377255814,0.028194645272054706
Qwen/Qwen2.5-3B,8,2646.3683333333333,2533.42,2724.85,66.11063890681034,0.024981646762504202
Qwen/Qwen2.5-3B,16,5181.1466666666665,5011.65,5308.85,107.19038663362817,0.020688545129063082
Qwen/Qwen2.5-3B,32,9696.461666666668,9483.04,10006.91,195.3521559048335,0.020146746578330973
Qwen/Qwen2.5-3B,64,16144.683333333334,15326.67,16820.64,686.4109813127014,0.04251622451432628
Qwen/Qwen2.5-3B,128,25161.555000000004,24210.43,25863.83,690.1876468541001,0.027430246137573788
Qwen/Qwen2.5-3B,256,18518.248333333333,17503.78,19429.25,875.1983787785874,0.04726140199789884
Qwen/Qwen2.5-3B,512,27899.516666666666,25613.16,30200.15,1690.6164449060207,0.06059662126426395
Qwen/Qwen2.5-3B,1024,34417.043333333335,26530.94,40189.13,6086.097521209027,0.176833828003888
Qwen/Qwen2.5-3B,2048,29837.571666666667,20085.72,38062.46,7273.280678113327,0.24376248708733703
Qwen/Qwen2.5-7B,1,213.11333333333334,211.97,214.37,1.0783444100409871,0.005059957503242391
Qwen/Qwen2.5-7B,2,413.885,408.44,421.94,5.447321360081469,0.013161437017725888
Qwen/Qwen2.5-7B,4,818.2983333333333,797.98,837.69,14.700426411048975,0.01796462953940882
Qwen/Qwen2.5-7B,8,1606.4033333333334,1570.26,1636.5,23.04918364425662,0.01434831661885866
Qwen/Qwen2.5-7B,16,3081.7400000000002,3053.88,3111.2,23.023104916583105,0.007470813539293767
Qwen/Qwen2.5-7B,32,5621.551666666666,5583.9,5670.23,32.08578402761341,0.005707638376405618
Qwen/Qwen2.5-7B,64,9779.801666666666,9625.75,9912.6,127.7843028570677,0.013066144612380589
Qwen/Qwen2.5-7B,128,15149.911666666667,14799.6,15294.52,205.2867358030386,0.013550358597450915
Qwen/Qwen2.5-7B,256,17959.745,17008.52,18587.14,684.0018269785563,0.03808527498461445
Qwen/Qwen2.5-7B,512,22057.105,20993.85,22824.97,797.880986908451,0.03617342289064901
Qwen/Qwen2.5-7B,1024,22883.085000000003,21783.14,23738.55,829.6422588260566,0.036255699737428565
Qwen/Qwen2.5-7B,2048,22857.591666666664,18837.82,24175.22,2007.0504214036746,0.08780673181464546
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,1,283.1933333333333,282.13,284.56,1.2430741463538626,0.0043894894407372365
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,2,544.4733333333334,540.87,549.88,4.76802195185102,0.008757126676270101
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,4,1073.6066666666666,1066.85,1086.7,11.341103708781407,0.010563555593402961
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,8,2082.65,2076.17,2094.24,10.060581494128355,0.004830663574834138
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,16,3959.14,3935.62,3997.76,33.70982646054426,0.008514431533248202
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,32,6844.69,6825.06,6855.0,17.007283733741687,0.002484741271517289
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,64,11033.230000000001,11021.28,11039.64,10.358141725231778,0.000938813178482814
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,128,16079.35,15999.76,16161.35,80.82195308206806,0.005026444046685224
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,256,18111.493333333332,17913.19,18322.09,204.72700611627624,0.011303706566232481
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,512,21079.329999999998,21065.32,21103.03,20.638146719121202,0.0009790703366341063
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,1024,21739.94,21506.13,21970.87,232.38338516339658,0.010689237650306146
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,2048,22104.273333333334,22029.36,22186.4,78.76810606669046,0.0035634786486243744
meta-llama/Llama-3.1-8B,1,201.15833333333333,200.21,202.47,1.0569468608528274,0.0052543031319582404
meta-llama/Llama-3.1-8B,2,389.3616666666667,382.6,395.36,5.364115646280069,0.013776691712367017
meta-llama/Llama-3.1-8B,4,767.3933333333333,755.4,786.67,11.551735223189052,0.015053212898021516
meta-llama/Llama-3.1-8B,8,1509.9566666666667,1500.18,1525.71,11.08007340529226,0.007338007540145081
meta-llama/Llama-3.1-8B,16,2842.23,2822.77,2882.82,22.938075769340404,0.00807045023426691
meta-llama/Llama-3.1-8B,32,5153.675,5098.38,5228.0,47.584598243549685,0.009233139117920586
meta-llama/Llama-3.1-8B,64,8702.373333333335,8562.95,8861.77,109.97688787498343,0.012637574103346145
meta-llama/Llama-3.1-8B,128,13333.095000000001,13148.62,13447.31,127.72223436034932,0.009579338807707366
meta-llama/Llama-3.1-8B,256,16398.086666666666,15655.11,17041.3,519.2643383736901,0.031666154041570534
meta-llama/Llama-3.1-8B,512,18782.746666666666,17976.73,19242.25,592.0239677130202,0.03151956304472083
meta-llama/Llama-3.1-8B,1024,19698.686666666665,19230.9,20038.33,355.68144712181197,0.01805609953295428
meta-llama/Llama-3.1-8B,2048,18767.653333333332,17813.8,19365.31,605.857668158675,0.03228201509256398
meta-llama/Llama-3.2-3B,1,382.695,375.95,387.16,3.670894986239739,0.009592220923293334
meta-llama/Llama-3.2-3B,2,715.6166666666667,671.88,743.5,25.07240288976442,0.03503608014965797
meta-llama/Llama-3.2-3B,4,1405.495,1302.46,1457.95,60.60749912345836,0.04312181766812285
meta-llama/Llama-3.2-3B,8,2759.5699999999997,2696.95,2867.6,58.001576875116115,0.02101833868143084
meta-llama/Llama-3.2-3B,16,5182.366666666667,5027.87,5325.76,126.28957243837127,0.02436909245551352
meta-llama/Llama-3.2-3B,32,9286.428333333333,8922.38,9554.22,252.49432543458687,0.027189605774296025
meta-llama/Llama-3.2-3B,64,15398.6,14616.08,16061.38,501.75967510352973,0.03258475933549347
meta-llama/Llama-3.2-3B,128,22756.3,21398.84,23386.89,709.9379888131082,0.031197426155091447
meta-llama/Llama-3.2-3B,256,20303.121666666666,18082.35,21381.84,1303.6883380841703,0.0642112262088517
meta-llama/Llama-3.2-3B,512,28613.655,26018.61,31271.85,2211.927479866824,0.07730321344361019
meta-llama/Llama-3.2-3B,1024,28822.763333333336,23317.96,34754.65,4580.245663868551,0.15891070578134087
meta-llama/Llama-3.2-3B,2048,28688.498333333333,21984.48,33274.99,5269.931342746001,0.1836949177860187
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,1,294.0116666666667,292.99,295.66,1.2802721064940412,0.004354494231501148
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,2,564.49,557.4,572.05,6.157025255754539,0.010907235302227817
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,4,1115.875,1083.52,1151.77,27.072889576105503,0.024261579098111778
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,8,2165.355,2090.12,2218.57,59.4637653533647,0.027461439511472552
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,16,4128.786666666667,4044.8,4235.94,87.60745942365084,0.021218693649381476
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,32,7439.658333333333,7214.64,7629.32,148.59953302977323,0.019973972778289304
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,64,12294.383333333333,11835.29,12589.23,286.455357406118,0.023299693009364773
