model_path,max_num_seqs,mean_noncc,min_noncc,max_noncc,std_dev_noncc,cv_noncc
Qwen/Qwen2.5-3B,1,346.645,345.65,347.45,0.7652907944043325,0.0022077075809670567
Qwen/Qwen2.5-3B,2,661.6716666666666,658.65,664.25,2.5632589932869903,0.0038739137889945404
Qwen/Qwen2.5-3B,4,1303.03,1299.12,1308.36,4.220379129888762,0.003238896364541651
Qwen/Qwen2.5-3B,8,2541.478333333333,2520.87,2564.97,19.737945604005112,0.007766324562018752
Qwen/Qwen2.5-3B,16,4738.4366666666665,4685.86,4792.45,42.63847824051238,0.008998427380165304
Qwen/Qwen2.5-3B,32,8567.193333333335,8508.87,8638.84,46.196287585331646,0.005392231246327835
Qwen/Qwen2.5-3B,64,14381.695,14213.5,14606.86,145.99207372319935,0.010151242515099879
Qwen/Qwen2.5-3B,128,21298.666666666668,20577.17,21608.16,373.4572115071121,0.01753430002693961
Qwen/Qwen2.5-3B,256,26737.343333333334,24812.83,27606.16,1007.2284650399167,0.03767122456718459
Qwen/Qwen2.5-3B,512,25552.35666666667,22066.52,27854.41,2259.0052574676906,0.08840692414154454
Qwen/Qwen2.5-3B,1024,22297.106666666663,15854.59,27177.12,4651.75623192646,0.20862600253335387
Qwen/Qwen2.5-3B,2048,21038.2075,17924.56,24937.7,3595.2925978411918,0.17089348500062054
Qwen/Qwen2.5-7B,1,204.82666666666668,204.52,205.05,0.20992061991777794,0.0010248695803823612
Qwen/Qwen2.5-7B,2,406.73,406.32,407.27,0.3495711658589624,0.000859467376045438
Qwen/Qwen2.5-7B,4,803.4066666666668,801.59,804.15,1.0044235494384952,0.0012502056444289344
Qwen/Qwen2.5-7B,8,1547.8416666666665,1544.86,1549.65,2.0238124089616054,0.0013075060922219256
Qwen/Qwen2.5-7B,16,2919.096666666667,2903.26,2928.81,10.792127995287384,0.0036970779757050575
Qwen/Qwen2.5-7B,32,5194.388333333333,5142.39,5242.62,34.07138589295501,0.00655926813833168
Qwen/Qwen2.5-7B,64,9037.9,8938.76,9122.43,68.11226027669326,0.007536292753481774
Qwen/Qwen2.5-7B,128,13181.368333333332,12968.3,13416.19,182.9483850069927,0.013879316652152777
Qwen/Qwen2.5-7B,256,16567.716666666667,16443.23,16683.56,82.08871290662707,0.004954739060198055
Qwen/Qwen2.5-7B,512,18654.825,18455.27,19089.51,237.86070526675758,0.012750626460808817
Qwen/Qwen2.5-7B,1024,17935.363333333335,16121.25,19289.21,1303.6411238015871,0.07268551517876068
Qwen/Qwen2.5-7B,2048,12611.336666666664,10961.56,15123.65,2211.046227023156,0.17532211576487577
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,1,245.405,244.82,246.32,0.6007578547135276,0.0024480261392943498
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,2,483.90333333333336,479.17,489.22,3.4891641788065364,0.007210457003409508
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,4,952.7600000000001,947.61,956.11,3.2704250488277773,0.003432580134375661
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,8,1825.0883333333334,1801.46,1839.1,12.676481241522268,0.0069456809349989065
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,16,3399.3283333333334,3391.07,3415.13,9.034326575161415,0.00265767989710557
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,32,5772.5216666666665,5716.42,5822.42,35.763007377270135,0.006195387292140092
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,64,8685.565,8566.98,8795.21,73.06716875587765,0.008412483097631322
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,128,11724.486666666666,11523.25,11877.15,128.38866938584042,0.010950472548265679
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,256,12312.146666666667,12197.43,12496.66,110.60071838223583,0.008983057250420113
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,512,12491.088333333333,12351.22,12633.32,118.96498315330716,0.009523988621218931
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,1024,12724.536666666667,12595.4,12877.38,123.91181649328936,0.009738021881605349
Qwen/Qwen2.5-7B-Instruct-GPTQ-Int8,2048,12507.251999999999,11533.8,13044.72,581.1710691096042,0.04646672739220446
