model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,512,4997,639616,5116928,3.53,451.58,3612.68,4064.26,764176.17,801019.70,407614.10,1099750.12,1402828.82,629854.81,635412.48,279937.21,971389.38,1296084.96,,,124.31,132.75,164.78,751.21,110.68,91.11,121.93,858.10
meta-llama/Llama-3.1-8B,1024,4997,639616,5116928,3.22,412.22,3297.78,3710.00,875022.96,859454.49,492377.17,1283980.05,1547488.20,609631.49,654519.13,290746.71,1029980.45,1352231.14,,,200.25,308.16,399.24,860.29,144.57,106.49,196.11,1278.29
meta-llama/Llama-3.1-8B,2048,4997,639616,5116928,3.13,400.41,3203.31,3603.72,894799.92,886899.32,502239.92,1312996.76,1595547.78,548530.66,594691.05,16214.37,1049576.28,1481032.29,,,260.26,396.43,697.88,880.08,119.50,100.34,171.97,1320.54
meta-llama/Llama-3.1-8B,4096,4997,639616,5116928,2.91,371.88,2975.06,3346.94,928796.94,935767.15,511417.97,1358067.87,1713075.90,652731.61,751203.55,17945.72,1072466.70,1507453.01,,,193.67,283.58,615.91,913.67,95.50,76.66,122.27,1036.53
meta-llama/Llama-3.1-8B,512,4997,639616,5116928,3.47,444.20,3553.63,3997.83,775458.46,810838.28,413341.34,1115736.02,1427154.08,638565.58,646339.50,280830.86,986668.00,1316552.57,,,127.52,133.70,168.20,762.30,112.07,93.37,125.01,887.97
meta-llama/Llama-3.1-8B,1024,4997,639616,5116928,3.20,409.34,3274.71,3684.05,882307.46,867182.22,497511.14,1293052.60,1558446.19,615441.29,660266.60,295129.65,1038071.54,1367353.62,,,201.07,309.69,401.61,867.45,141.56,95.89,193.28,1353.08
meta-llama/Llama-3.1-8B,2048,4997,639616,5116928,3.10,397.36,3178.85,3576.21,908280.41,904470.48,512657.31,1330356.29,1606954.24,559154.10,605471.69,20884.59,1065094.34,1495948.09,,,260.66,401.20,704.84,893.34,117.43,98.86,163.78,1592.72
meta-llama/Llama-3.1-8B,4096,4997,639616,5116928,2.96,379.18,3033.42,3412.60,910871.67,917367.60,497734.15,1334781.05,1681741.09,640491.08,735512.62,16388.65,1054117.84,1481614.73,,,190.60,278.36,603.18,896.04,94.22,76.10,120.94,890.88
meta-llama/Llama-3.1-8B,512,4997,639616,5116928,3.45,441.53,3532.25,3973.78,780531.81,816141.84,416926.32,1124629.78,1435155.19,642757.23,648820.15,281327.53,993427.75,1325688.20,,,129.34,134.78,170.50,767.29,111.64,89.72,126.29,951.35
meta-llama/Llama-3.1-8B,1024,4997,639616,5116928,3.18,407.19,3257.50,3664.68,883924.36,869148.42,497940.44,1296509.88,1566452.99,615817.29,661004.58,292811.95,1039534.39,1369727.53,,,202.29,310.16,401.81,869.04,143.65,100.39,197.33,1418.52
meta-llama/Llama-3.1-8B,2048,4997,639616,5116928,3.10,396.66,3173.29,3569.95,905668.66,899487.17,508398.31,1328394.79,1610261.81,556964.21,602219.93,19034.07,1061735.60,1493792.74,,,260.68,399.27,703.10,890.77,117.20,99.08,165.88,1445.27
