model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.2-3B,2048,5000,640000,640000,99.4,12722.69,12722.69,25445.38,37078.97,41907.59,27168.46,43482.29,49007.24,21724.22,24411.17,8925.13,26805.37,43117.97,,,126.58,138.29,145.61,572.24,165.53,137.99,209.98,9332.27
meta-llama/Llama-3.2-3B,1024,5000,640000,640000,108.41,13876.96,13876.96,27753.92,28992.16,28267.16,21631.68,38392.08,44322.44,21729.41,21347.81,14176.78,29922.63,38453.66,,,54.45,59.83,68.26,405.19,66.89,57.37,76.23,14188.76
meta-llama/Llama-3.2-3B,512,5000,640000,640000,100.7,12888.99,12888.99,25777.99,28544.07,25232.96,19336.86,39344.7,47930.42,24863.0,22070.45,15650.35,34970.95,44604.87,,,25.18,32.22,37.18,367.7,35.18,31.06,40.8,15642.04
meta-llama/Llama-3.2-3B,256,5000,640000,640000,67.53,8643.22,8643.22,17286.44,38803.75,37121.76,20207.19,55327.08,72351.47,35835.86,33810.76,17210.31,52085.59,70379.37,,,23.2,26.37,29.59,341.99,23.15,20.79,26.4,484.18
meta-llama/Llama-3.2-3B,128,5000,640000,640000,62.0,7935.98,7935.98,15871.95,41106.14,40229.69,21484.19,60301.94,78333.6,39506.93,38381.58,19883.95,58503.21,76481.23,,,12.61,14.19,16.15,348.34,12.18,11.59,15.16,126.26
meta-llama/Llama-3.2-3B,64,5000,640000,640000,39.74,5087.3,5087.3,10174.6,61623.45,59796.67,31170.44,92043.77,123687.85,60231.32,58113.54,30040.09,90501.14,122155.39,,,10.52,12.4,13.34,502.44,10.33,9.75,13.74,94.88
meta-llama/Llama-3.2-3B,32,5000,640000,640000,23.41,2996.85,2996.85,5993.7,104202.2,102209.9,52183.87,156347.23,209587.87,102950.23,100843.61,50943.43,154974.3,208216.29,,,9.55,10.74,11.04,831.76,9.33,8.9,9.88,44.19
meta-llama/Llama-3.2-3B,16,5000,640000,640000,12.78,1635.66,1635.66,3271.31,192802.03,189322.92,97138.9,289531.39,385726.3,191623.79,188113.44,96013.0,288281.58,384469.03,,,9.04,9.74,12.32,1545.94,8.97,8.64,9.24,35.31
meta-llama/Llama-3.2-3B,8,5000,640000,640000,6.93,887.5,887.5,1774.99,354025.97,348137.79,174157.21,533966.83,712634.92,352921.98,346969.68,173379.87,532804.99,711495.59,,,8.49,9.16,9.76,2831.51,8.76,8.32,9.02,29.47
meta-llama/Llama-3.2-3B,4,5000,640000,640000,3.59,459.31,459.31,918.63,689199.61,679559.18,340375.84,1038785.74,1378134.99,688132.23,678454.2,339365.38,1037681.35,1377040.8,,,8.21,8.72,9.3,5487.57,8.23,7.86,8.61,27.08
meta-llama/Llama-3.2-3B,2,5000,640000,640000,1.87,239.78,239.78,479.57,1327308.71,1323398.83,654908.09,1995500.48,2639501.27,1326275.2,1322363.73,653859.35,1994465.25,2638418.44,,,7.99,8.34,8.85,10543.05,8.09,7.78,8.53,25.57
meta-llama/Llama-3.2-3B,1,5000,640000,640000,0.97,124.35,124.35,248.69,2563441.53,2546579.98,1273758.99,3856446.95,5094721.29,2562444.51,2545586.93,1272742.92,3855448.11,5093736.66,,,7.71,8.05,8.62,20330.38,7.88,7.49,8.21,24.12
meta-llama/Llama-3.2-3B,2048,5000,640000,640000,113.84,14571.38,14571.38,29142.77,31681.87,35734.81,22450.54,37262.04,42545.98,18673.99,20915.27,8148.01,22425.07,37201.49,,,103.55,116.44,119.88,467.5,138.9,104.24,179.8,8165.77
meta-llama/Llama-3.2-3B,1024,5000,640000,640000,110.68,14167.19,14167.19,28334.38,28291.39,27756.72,21209.52,36081.31,43813.69,21239.12,21177.45,14499.47,28561.68,37147.69,,,52.31,56.62,67.61,416.85,67.47,59.5,75.95,14678.93
meta-llama/Llama-3.2-3B,512,5000,640000,640000,101.49,12991.35,12991.35,25982.7,27255.06,24729.85,16322.61,38737.61,47597.37,23589.74,20961.24,12989.77,34493.88,43964.77,,,26.2,32.73,36.87,304.03,28.81,26.04,32.93,9826.16
meta-llama/Llama-3.2-3B,256,5000,640000,640000,67.37,8623.75,8623.75,17247.5,39076.45,37348.39,20438.85,55834.08,72561.8,36126.95,33942.6,17286.21,52600.48,70594.03,,,22.72,26.74,29.39,347.11,23.13,20.57,26.45,540.38
