model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.2-3B,2048,5000,640000,640000,118.64,15185.89,15185.89,30371.79,29296.4,34120.94,19022.0,34938.0,41164.68,16255.42,18645.55,5888.94,18793.69,34688.76,,,97.85,126.24,127.51,450.17,113.1,92.43,190.1,6031.85
meta-llama/Llama-3.2-3B,1024,5000,640000,640000,123.84,15852.15,15852.15,31704.3,27051.18,27869.17,20864.88,34277.56,39391.13,20351.67,20819.18,13744.23,27699.3,34764.87,,,51.44,58.0,60.6,417.34,67.85,60.04,78.87,13900.25
meta-llama/Llama-3.2-3B,512,5000,640000,640000,133.34,17067.08,17067.08,34134.15,21114.54,19574.93,12636.64,29968.58,36340.59,18303.58,16775.18,9840.71,26766.79,33835.83,,,19.5,25.36,28.16,235.24,20.97,18.7,23.59,6162.63
meta-llama/Llama-3.2-3B,256,5000,640000,640000,116.11,14861.69,14861.69,29723.38,23004.69,22174.22,11966.78,32308.5,41876.16,21340.85,20041.4,10844.06,30498.65,40819.67,,,12.24,15.27,18.74,234.27,13.69,12.97,14.95,6634.64
meta-llama/Llama-3.2-3B,128,5000,640000,640000,94.79,12133.26,12133.26,24266.52,27353.6,27203.55,14724.74,39734.97,51211.69,26318.67,26066.85,13672.18,38603.49,50155.34,,,8.27,8.99,10.09,226.33,8.02,7.75,8.33,101.81
meta-llama/Llama-3.2-3B,64,5000,640000,640000,64.57,8264.9,8264.9,16529.79,39556.12,39518.86,21093.27,57931.57,75880.69,38741.11,38586.22,20253.96,57087.77,75036.16,,,6.62,6.67,7.37,323.0,6.51,6.33,6.69,21.41
meta-llama/Llama-3.2-3B,32,5000,640000,640000,38.3,4902.64,4902.64,9805.27,65848.2,65800.6,34256.79,97457.94,128165.53,65095.2,65012.97,33475.11,96668.52,127386.41,,,6.06,6.17,6.27,526.56,5.88,5.74,6.03,33.72
meta-llama/Llama-3.2-3B,16,5000,640000,640000,21.04,2693.14,2693.14,5386.28,119357.65,119370.82,61031.44,177932.01,234223.91,118648.85,118651.97,60302.0,177212.99,233504.33,,,5.65,5.69,5.79,946.9,5.58,5.47,5.71,17.34
meta-llama/Llama-3.2-3B,8,5000,640000,640000,11.42,1461.86,1461.86,2923.72,219473.83,219340.02,110994.06,327983.99,432427.67,218810.16,218669.39,110324.64,327313.46,431756.56,,,5.28,5.29,5.3,1737.84,5.28,5.17,5.4,15.81
meta-llama/Llama-3.2-3B,4,5000,640000,640000,5.86,750.34,750.34,1500.67,426843.55,426536.11,214405.69,639337.99,843578.29,426185.84,425874.54,213744.39,638676.29,842916.96,,,5.21,5.21,5.23,3376.01,5.2,5.11,5.3,15.6
meta-llama/Llama-3.2-3B,2,5000,640000,640000,2.94,376.76,376.76,753.53,849308.51,848624.02,425593.28,1273081.44,1680533.07,848650.09,847964.56,424933.44,1272421.17,1679872.79,,,5.19,5.2,5.46,6725.99,5.2,5.1,5.3,15.6
meta-llama/Llama-3.2-3B,1,5000,640000,640000,1.51,193.35,193.35,386.69,1654179.86,1652932.89,827523.74,2480805.7,3275807.03,1653537.56,1652289.67,826880.73,2480162.63,3275163.88,,,5.06,5.07,5.11,13077.86,5.06,4.99,5.15,15.21
meta-llama/Llama-3.2-3B,2048,5000,640000,640000,141.6,18125.02,18125.02,36250.04,26050.28,30209.07,18224.64,30491.91,34338.53,15242.6,18257.63,5585.71,18450.29,30283.76,,,93.6,99.38,100.11,398.63,106.97,89.23,132.94,5730.51
meta-llama/Llama-3.2-3B,1024,5000,640000,640000,108.74,13918.57,13918.57,27837.14,31856.43,33738.98,25493.51,40075.31,45068.92,24183.47,25471.05,16150.05,33596.51,40594.16,,,50.64,70.73,77.09,491.68,86.18,65.44,98.95,16279.77
meta-llama/Llama-3.2-3B,512,5000,640000,640000,135.08,17289.75,17289.75,34579.51,21432.38,19694.28,13872.32,29793.45,35849.13,18639.47,16740.89,11331.51,26579.04,33644.63,,,19.54,24.66,27.92,293.36,27.57,24.11,31.63,11335.03
meta-llama/Llama-3.2-3B,256,5000,640000,640000,107.22,13723.91,13723.91,27447.83,24413.45,23439.71,12618.29,34512.36,45450.17,22593.98,21646.12,10854.41,32595.02,44396.13,,,13.9,17.0,20.32,221.97,13.59,12.45,15.54,449.68
meta-llama/Llama-3.2-3B,128,5000,640000,640000,95.25,12192.26,12192.26,24384.52,27296.22,27177.85,14719.14,39700.97,50941.91,26259.41,26038.79,13660.45,38566.28,49890.35,,,8.34,9.0,9.85,228.24,8.0,7.71,8.3,98.23
meta-llama/Llama-3.2-3B,64,5000,640000,640000,64.44,8248.16,8248.16,16496.32,39643.02,39603.67,21175.05,58049.27,76057.15,38820.58,38673.14,20324.82,57193.0,75214.17,,,6.69,6.74,7.34,322.89,6.51,6.3,6.73,26.92
meta-llama/Llama-3.2-3B,32,5000,640000,640000,38.37,4911.17,4911.17,9822.34,65848.81,65841.48,34301.02,97540.99,127927.99,65096.53,65054.58,33517.63,96752.94,127153.66,,,6.08,6.16,6.2,526.76,5.89,5.74,6.03,30.37
meta-llama/Llama-3.2-3B,16,5000,640000,640000,21.03,2691.95,2691.95,5383.91,119409.53,119417.21,61051.62,178007.08,234302.46,118701.17,118694.93,60322.7,177288.11,233580.75,,,5.65,5.69,5.79,947.52,5.59,5.44,5.72,17.44
meta-llama/Llama-3.2-3B,8,5000,640000,640000,11.43,1463.15,1463.15,2926.3,219246.18,219098.18,110880.95,327633.77,431943.52,218582.64,218427.28,110209.48,326963.44,431272.0,,,5.28,5.29,5.31,1734.81,5.28,5.19,5.37,15.77
meta-llama/Llama-3.2-3B,4,5000,640000,640000,5.87,751.17,751.17,1502.34,426350.07,426021.99,214170.13,638602.2,842608.0,425693.11,425362.81,213509.51,637941.17,841947.49,,,5.2,5.2,5.22,3372.26,5.2,5.08,5.32,15.59
meta-llama/Llama-3.2-3B,2,5000,640000,640000,2.94,376.96,376.96,753.91,848845.73,848143.48,425360.37,1272377.92,1679645.22,848188.51,847484.22,424700.95,1271718.31,1678984.94,,,5.19,5.19,5.23,6721.83,5.19,5.09,5.3,15.6
meta-llama/Llama-3.2-3B,1,5000,640000,640000,1.51,193.21,193.21,386.41,1655441.44,1654100.03,828296.81,2482649.04,3278168.44,1654798.86,1653456.49,827653.64,2482005.7,3277524.88,,,5.07,5.07,5.18,13102.78,5.06,4.99,5.16,15.23
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,2048,5000,640000,640000,105.29,13476.64,13476.64,26953.28,32814.73,37568.68,21123.48,37863.26,46476.59,18953.96,21166.38,6142.37,24404.72,39602.52,,,102.91,119.55,265.24,439.85,100.18,68.62,125.52,6162.9
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,1024,5000,640000,640000,106.13,13584.82,13584.82,27169.63,28515.39,28998.68,19946.75,38006.52,46184.19,21288.26,21078.48,11660.02,30624.21,40116.62,,,49.73,64.04,71.93,379.53,49.62,45.27,52.65,11659.62
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,512,5000,640000,640000,101.31,12968.29,12968.29,25936.58,27583.84,25999.1,16359.68,39837.82,48177.34,23788.17,22184.52,12305.31,35564.28,45303.7,,,27.59,34.43,39.02,293.73,25.38,22.48,28.95,6006.33
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,256,5000,640000,640000,81.53,10435.81,10435.81,20871.62,31914.19,30656.52,16105.24,46007.96,60247.89,29476.08,28107.19,13942.68,43353.34,58889.49,,,18.59,22.15,25.0,274.37,17.39,15.74,19.86,553.53
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,128,5000,640000,640000,72.41,9268.9,9268.9,18537.79,35576.83,35479.16,18739.85,52280.5,67412.49,34195.58,33992.83,17375.4,50799.83,66057.7,,,10.74,11.77,13.08,288.95,10.26,10.02,10.54,146.69
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,64,5000,640000,640000,49.88,6384.12,6384.12,12768.23,51044.84,51175.52,26970.17,75080.14,98513.45,49979.1,49971.17,25885.76,73991.75,97438.86,,,8.54,8.61,9.5,408.73,8.26,8.06,8.5,36.21
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,32,5000,640000,640000,30.32,3881.4,3881.4,7762.79,83227.23,83405.45,43199.61,123617.74,162087.44,82271.83,82415.24,42210.72,122626.43,161114.28,,,7.64,7.79,7.82,659.1,7.34,7.2,7.51,48.05
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,16,5000,640000,640000,16.78,2147.34,2147.34,4294.69,149669.5,149790.42,76274.2,223358.07,294072.42,148778.17,148889.8,75372.86,222457.39,293171.24,,,7.08,7.13,7.26,1179.01,6.97,6.84,7.09,23.25
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,8,5000,640000,640000,9.16,1172.31,1172.31,2344.62,273575.0,273379.41,138030.54,409200.48,539512.05,272746.51,272542.89,137194.86,408364.44,538676.85,,,6.57,6.58,6.6,2153.35,6.58,6.47,6.69,9.77
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,4,5000,640000,640000,4.71,602.3,602.3,1204.61,531712.33,531507.96,267167.24,796633.18,1051206.02,530893.0,530685.3,265956.65,795809.74,1050382.92,,,6.47,6.48,6.64,4187.96,6.48,6.35,6.61,11.72
neuralmagic/Meta-Llama-3.1-8B-Instruct-FP8,2,5000,640000,640000,2.38,304.23,304.23,608.46,1052017.06,1051347.36,527144.14,1577178.22,2081438.04,1051204.14,1050532.57,526449.81,1576363.6,2080622.86,,,6.41,6.42,6.55,8281.02,6.42,6.31,6.53,12.12
