model_path,max_num_seqs,mean_noncc,min_noncc,max_noncc,std_dev_noncc,cv_noncc
meta-llama/Llama-3.1-8B,1,202.135,201.8,202.47,0.47376154339496795,0.0023437877823977936
meta-llama/Llama-3.1-8B,2,397.40999999999997,396.74,398.08,0.9475230867899359,0.002384245707933761
meta-llama/Llama-3.1-8B,4,785.245,784.4,786.09,1.195010460205304,0.001521831352259873
meta-llama/Llama-3.1-8B,8,1531.145,1528.85,1533.44,3.245620125646356,0.0021197340066723635
meta-llama/Llama-3.1-8B,16,2862.383333333333,2859.52,2866.64,3.7589404535497963,0.0013132204934872909
meta-llama/Llama-3.1-8B,32,5245.34,5238.97,5252.71,6.924370007444613,0.001320099365807481
meta-llama/Llama-3.1-8B,64,8835.786666666667,8831.77,8843.71,6.862028368735411,0.0007766177056563099
meta-llama/Llama-3.1-8B,128,13494.083333333334,13487.99,13504.35,8.94287053095039,0.0006627253078287607
meta-llama/Llama-3.1-8B,256,17703.523333333334,17607.44,17885.95,158.06116991004984,0.008928232359964292
meta-llama/Llama-3.1-8B,512,19478.663333333334,19468.37,19486.81,9.40555864015303,0.000482864685281435
meta-llama/Llama-3.1-8B,1024,20172.513333333332,20123.88,20256.52,73.05338413333841,0.0036214319418803233
meta-llama/Llama-3.1-8B,2048,19635.97,19627.52,19644.42,11.950104602049823,0.0006085823415930615
