model_path,max_num_seqs,mean_noncc,min_noncc,max_noncc,std_dev_noncc,cv_noncc
meta-llama/Llama-3.1-8B,1,191.595,191.45,191.74,0.20506096654411327,0.0010702834966680407
meta-llama/Llama-3.1-8B,2,380.595,379.66,381.53,1.322289680818827,0.003474269711422396
meta-llama/Llama-3.1-8B,4,749.2149999999999,748.89,749.54,0.45961940777119964,0.0006134679735072575
meta-llama/Llama-3.1-8B,8,1461.72,1457.77,1465.67,5.58614357137379,0.0038216235471730496
meta-llama/Llama-3.1-8B,16,2740.62,2738.93,2742.31,2.390020920410608,0.000872073078504356
meta-llama/Llama-3.1-8B,32,4955.505,4944.56,4966.45,15.478567440173114,0.0031235095999647086
meta-llama/Llama-3.1-8B,64,8195.67,8167.55,8223.79,39.7676853739316,0.004852279969048524
meta-llama/Llama-3.1-8B,128,12411.69,12400.53,12422.85,15.782623356083535,0.0012715934216922541
meta-llama/Llama-3.1-8B,256,16230.135,16188.75,16271.52,58.527228278810846,0.0036060838852425346
meta-llama/Llama-3.1-8B,512,17706.46,17680.41,17732.51,36.8402632998181,0.0020806114434967857
meta-llama/Llama-3.1-8B,1024,18445.67,18420.82,18470.52,35.14320702497064,0.001905228003372712
meta-llama/Llama-3.1-8B,2048,17110.7,16972.47,17248.93,195.4867407268323,0.01142482427526824
meta-llama/Llama-3.2-3B,1,346.055,346.04,346.07,0.021213203435577133,6.130009228468635e-05
meta-llama/Llama-3.2-3B,2,681.68,677.18,686.18,6.363961030678928,0.009335701547175989
meta-llama/Llama-3.2-3B,4,1331.83,1329.59,1334.07,3.1678383797157457,0.0023785606118767004
meta-llama/Llama-3.2-3B,8,2602.5950000000003,2602.1,2603.09,0.70003571337501,0.00026897604635944095
meta-llama/Llama-3.2-3B,16,4741.71,4721.31,4762.11,28.849956672410624,0.006084293782709323
meta-llama/Llama-3.2-3B,32,8582.015,8565.74,8598.29,23.016325727622252,0.0026819255999462705
meta-llama/Llama-3.2-3B,64,13768.880000000001,13675.23,13862.53,132.44110011624176,0.009618872422175306
meta-llama/Llama-3.2-3B,128,20099.42,20051.36,20147.48,67.96710380765151,0.003381545527564986
meta-llama/Llama-3.2-3B,256,25903.260000000002,25834.55,25971.97,97.17061387065799,0.00375128898334251
meta-llama/Llama-3.2-3B,512,28281.53,28197.94,28365.12,118.21411167876722,0.0041799051069290535
meta-llama/Llama-3.2-3B,1024,28183.010000000002,27554.14,28811.88,889.3564829695707,0.03155647615246098
meta-llama/Llama-3.2-3B,2048,29093.690000000002,28482.93,29704.45,863.7450753549931,0.029688398939941678
