model_path,max_num_seqs,successful_requests,total_input_tokens,total_output_tokens,request_throughput,input_token_throughput,output_token_throughput,total_token_throughput,mean_e2e_latency,median_e2e_latency,p25_e2e_latency,p75_e2e_latency,p99_e2e_latency,mean_ttft,median_ttft,p25_ttft,p75_ttft,p99_ttft,mean_tpot,median_tpot,p25_tpot,p75_tpot,p99_tpot,mean_itl,median_itl,p25_itl,p75_itl,p99_itl
meta-llama/Llama-3.1-8B,512,5000,640000,5120000,3.79,484.51,3876.07,4360.58,710557.65,741335.74,380985.34,1023212.79,1308512.26,585673.13,589641.51,260608.85,903630.16,1208064.65,,,116.91,120.53,154.64,698.92,109.57,102.80,116.31,477.60
meta-llama/Llama-3.1-8B,1024,5000,640000,5120000,3.51,448.92,3591.38,4040.30,806862.93,796540.96,462062.02,1179709.78,1422096.51,564051.81,608242.14,272449.91,949592.88,1245557.32,,,183.27,281.37,371.86,793.75,144.50,113.30,184.04,888.55
meta-llama/Llama-3.1-8B,2048,5000,640000,5120000,3.35,428.55,3428.37,3856.91,839491.14,835954.10,470624.88,1231864.73,1492156.76,516080.90,560641.25,14956.66,985400.04,1386935.38,,,241.66,373.13,656.00,826.17,126.30,102.91,165.99,1112.62
meta-llama/Llama-3.1-8B,4096,5000,640000,5120000,3.11,397.90,3183.21,3581.12,869328.85,876935.93,478084.80,1273326.65,1603935.41,619989.42,704542.02,15150.61,1006795.23,1410500.12,,,180.83,259.72,560.46,855.70,93.51,83.55,121.08,693.76
meta-llama/Llama-3.1-8B,512,5000,640000,5120000,3.73,477.42,3819.39,4296.82,720584.33,752007.56,384283.16,1038916.52,1328191.98,593709.06,597250.45,262916.96,917514.78,1225983.29,,,118.71,122.59,157.56,708.78,110.98,103.00,118.48,492.20
meta-llama/Llama-3.1-8B,1024,5000,640000,5120000,3.46,443.39,3547.12,3990.51,814765.29,804333.83,462757.88,1192852.57,1439836.50,568976.75,612098.40,273166.40,959322.32,1259736.45,,,185.88,285.16,372.49,801.52,146.91,115.03,186.00,905.19
meta-llama/Llama-3.1-8B,2048,5000,640000,5120000,3.35,428.27,3426.15,3854.42,840205.40,836161.41,473336.25,1231320.77,1493144.65,516284.82,563440.13,15058.27,984553.28,1385483.28,,,241.44,373.18,657.27,826.88,126.66,102.97,168.46,1104.19
meta-llama/Llama-3.1-8B,4096,5000,640000,5120000,3.10,397.08,3176.67,3573.75,871377.79,879629.55,479160.12,1275997.51,1607194.11,612805.99,706471.06,14996.33,1009700.71,1413199.88,,,181.43,266.18,580.02,857.70,93.76,83.84,122.22,681.40
meta-llama/Llama-3.1-8B,512,5000,640000,5120000,3.73,477.89,3823.10,4300.99,721042.44,753230.49,386680.18,1038167.27,1326830.60,594318.40,599231.55,263402.19,917061.73,1224168.93,,,118.36,122.81,156.27,709.23,110.37,102.63,117.72,516.08
meta-llama/Llama-3.1-8B,1024,5000,640000,5120000,3.44,440.92,3527.38,3968.30,818568.01,806693.58,463114.18,1199898.92,1447945.80,571199.07,613668.06,274257.85,964480.03,1267048.49,,,186.96,287.22,372.90,805.26,146.20,114.23,187.13,924.19
meta-llama/Llama-3.1-8B,2048,5000,640000,5120000,3.33,426.73,3413.84,3840.57,842767.48,838279.00,473603.51,1235889.31,1498516.85,517909.15,563567.01,15380.64,988962.05,1391504.90,,,242.69,374.83,658.57,829.40,126.38,103.04,166.24,1137.00
meta-llama/Llama-3.1-8B,4096,5000,640000,5120000,3.09,395.98,3167.85,3563.83,873035.92,880795.75,480039.27,1278256.09,1611731.08,613803.73,707751.01,14841.44,1010941.38,1416591.40,,,181.76,266.91,581.39,859.34,93.84,83.89,121.24,679.19
